Event,Hit,KE_i,KE_e
284,0,6.19071,0
285,0,3.01856,0
286,0,1.94558,0
287,0,1.80716,0
288,0,2.50282,0
289,0,2.87734,0
290,0,3.64991,0
291,0,2.46773,0
292,0,3.77671,0
293,0,2.16253,0
294,0,2.0919,0
295,0,3.49662,0
296,0,2.60414,0
297,0,4.87383,0
298,0,4.59944,0
299,0,4.18031,0
300,0,2.79661,0
301,0,3.63441,0
302,0,2.69238,0
303,0,5.06346,0
304,0,2.80654,0
305,0,2.79391,0
306,0,3.18657,0
307,0,1.40069,0
308,0,2.19612,0
309,0,2.42021,0
310,0,1.43723,0
311,0,3.82035,0
312,0,2.56669,0
313,0,3.46428,0
314,0,1.20455,0
315,0,5.06548,0
316,0,3.07881,0
317,0,2.4476,0
318,0,1.52619,0
319,0,1.88559,0
320,0,1.39375,0
321,0,1.75501,0
322,0,1.57729,0
323,0,1.63864,0
324,0,1.93326,0
325,0,2.92922,0
326,0,3.33551,0
327,0,1.71802,0
328,0,3.51762,0
329,0,1.67244,0
330,0,1.56686,0
331,0,4.80915,0
332,0,2.35193,0
333,0,1.57586,0
334,0,1.42309,0
335,0,2.30249,0
336,0,2.12954,0
337,0,1.24111,0
338,0,1.67178,0
339,0,1.0602,0
340,0,2.04553,0
341,0,5.45402,0
342,0,4.34103,0
343,0,1.35894,0
344,0,6.85236,0
345,0,1.51051,0
346,1,6.60402,0.335548
347,0,1.87365,0
348,0,8.01238,0
349,0,5.02005,0
350,0,3.70593,0
351,0,1.20293,0
352,0,3.93001,0
353,0,3.55253,0
354,0,3.01798,0
355,0,2.83199,0
356,0,2.34497,0
357,0,2.49151,0
358,0,5.48887,0
359,0,2.37957,0
360,0,4.35616,0
361,0,3.31806,0
362,0,2.28105,0
363,0,4.35939,0
364,0,2.02329,0
365,0,1.49465,0
366,0,7.66928,0
367,0,0.355655,0
368,0,4.87468,0
369,0,4.50588,0
370,0,1.55549,0
371,0,2.02544,0
372,0,5.61125,0
373,0,7.23572,0
374,0,2.20574,0
375,0,3.42259,0
376,0,2.23552,0
377,0,2.49248,0
378,0,1.54654,0
379,0,5.02165,0
380,0,5.9249,0
381,0,5.60514,0
382,0,5.10148,0
383,0,2.14566,0
384,0,2.43506,0
385,0,7.18204,0
386,0,1.53628,0
387,0,5.67568,0
388,0,2.6374,0
389,0,4.73898,0
390,0,1.21849,0
391,0,5.20311,0
392,0,3.14636,0
393,0,4.5179,0
394,0,4.40053,0
395,0,7.77646,0
396,0,1.1798,0
397,0,5.78846,0
398,0,5.73041,0
399,0,6.02748,0
400,0,2.56671,0
401,0,1.35075,0
402,0,1.892,0
403,0,3.07195,0
404,0,2.55549,0
405,0,1.28405,0
406,0,3.18137,0
407,0,6.13947,0
408,0,9.38695,0
409,0,3.02863,0
410,0,4.09943,0
411,0,2.04646,0
412,0,4.80734,0
413,0,2.45764,0
414,0,8.50247,0
415,0,1.05019,0
416,1,6.93945,6.88179e-08
417,0,2.66238,0
418,0,1.86907,0
419,0,2.58174,0
420,0,2.09933,0
421,0,1.7272,0
422,0,1.41163,0
423,0,1.1589,0
424,0,3.77714,0
425,0,1.65638,0
426,0,6.43105,0
427,0,2.82322,0
428,0,4.01432,0
429,0,6.5722,0
430,0,1.59002,0
431,0,2.06705,0
432,0,1.68099,0
433,0,2.60834,0
434,0,2.8973,0
435,1,6.00667,6.53773e-08
436,0,3.78294,0
437,0,3.1033,0
438,0,3.63388,0
439,0,6.38718,0
440,0,1.35184,0
441,0,3.59313,0
442,0,2.43833,0
443,0,3.13532,0
444,0,6.25313,0
445,0,1.12557,0
446,0,1.97622,0
447,0,2.32817,0
448,0,6.62567,0
449,0,1.09737,0
450,0,2.88034,0
451,0,5.52719,0
452,0,3.08572,0
453,0,7.7229,0
454,0,0.884489,0
455,0,4.43033,0
456,0,9.20189,0
457,0,4.0711,0
458,0,3.09049,0
459,0,2.53553,0
460,0,6.5609,0
461,0,4.7216,0
462,0,3.47302,0
463,0,2.04172,0
464,0,3.3919,0
465,0,1.89092,0
466,0,4.58695,0
467,0,1.94952,0
468,0,1.43867,0
469,0,1.34143,0
470,0,5.49989,0
471,0,4.56009,0
472,0,2.60698,0
473,0,2.98547,0
474,0,1.58365,0
475,0,3.30059,0
476,0,4.55904,0
477,0,3.3066,0
478,0,2.26402,0
479,0,8.10445,0
480,0,4.82615,0
481,0,0.627948,0
482,0,4.72885,0
483,1,6.85854,4.27604
484,0,1.31629,0
485,0,1.19142,0
486,0,3.44835,0
487,0,1.81269,0
488,0,6.09014,0
489,0,2.72019,0
490,0,1.90485,0
491,0,2.47446,0
492,0,4.72663,0
493,0,3.0354,0
494,0,4.23373,0
495,0,2.22448,0
496,0,1.16367,0
497,0,3.68579,0
498,0,4.47973,0
499,0,2.33205,0
500,0,2.0018,0
501,0,0.983567,0
502,0,2.55429,0
503,0,5.62248,0
504,0,2.15007,0
505,0,4.9079,0
506,0,5.20787,0
507,0,1.73558,0
508,0,4.74577,0
509,0,2.77761,0
510,0,4.28212,0
511,0,1.37123,0
512,0,3.90527,0
513,0,7.88467,0
514,0,2.44242,0
515,0,2.95507,0
516,0,6.23735,0
517,0,3.0094,0
518,0,2.29907,0
519,0,2.581,0
520,0,2.61235,0
521,0,5.12717,0
522,0,3.80562,0
523,0,2.88901,0
524,0,8.39927,0
525,0,2.82229,0
526,0,2.0561,0
527,0,0.964526,0
528,0,4.59956,0
529,0,3.34456,0
530,0,7.72324,0
531,0,3.30088,0
532,0,3.52367,0
533,0,6.18044,0
534,0,1.9423,0
535,0,2.47301,0
536,0,1.2365,0
537,0,3.68962,0
538,0,3.44376,0
539,0,3.09277,0
540,0,2.27522,0
541,0,1.24678,0
542,0,1.48299,0
543,0,2.29987,0
544,0,7.76242,0
545,0,5.37365,0
546,0,5.34588,0
547,0,5.41577,0
548,1,5.98612,1.43678
549,0,2.06027,0
550,0,1.33014,0
551,0,2.07279,0
552,0,2.71612,0
553,0,7.26673,0
554,0,2.89326,0
555,0,3.42918,0
556,0,5.10323,0
557,0,3.25599,0
558,0,2.13448,0
559,0,2.22535,0
560,0,1.68986,0
561,0,2.05415,0
562,0,5.24604,0
563,0,5.6734,0
564,0,3.32797,0
565,0,2.60011,0
566,0,3.2959,0
567,0,7.26216,0
568,0,2.92046,0
569,0,2.50276,0
570,0,1.13558,0
571,0,2.07244,0
572,0,1.54884,0
573,0,8.426,0
574,0,3.13829,0
575,0,1.76371,0
576,0,1.16097,0
577,0,1.10511,0
578,0,1.31439,0
579,0,4.44873,0
580,0,4.36795,0
581,0,0.831575,0
582,0,4.39551,0
583,0,7.94501,0
584,0,5.77,0
585,0,3.49067,0
586,0,2.6376,0
587,0,5.36889,0
588,0,4.84813,0
589,0,7.43345,0
590,0,3.32318,0
591,0,4.05965,0
592,0,4.77181,0
593,0,2.36131,0
594,0,3.66796,0
595,0,5.20527,0
596,0,2.61912,0
597,0,2.48307,0
598,0,7.17613,0
599,0,5.42106,0
600,0,3.32047,0
601,0,3.26837,0
602,0,1.88027,0
603,0,2.27828,0
604,0,3.61689,0
605,0,2.22167,0
606,0,1.6275,0
607,0,3.71839,0
608,0,3.23981,0
609,0,3.86249,0
610,0,2.65259,0
611,0,4.61323,0
612,0,6.36346,0
613,0,3.02829,0
614,0,1.95719,0
615,0,7.84569,0
616,0,2.33934,0
617,0,1.34425,0
618,0,2.38843,0
619,0,1.40098,0
620,0,1.62389,0
621,0,0.536253,0
622,0,2.9336,0
623,0,1.30706,0
624,0,1.9929,0
625,0,3.75857,0
626,0,1.55194,0
627,0,3.62944,0
628,0,3.49397,0
629,0,1.54011,0
630,0,6.15222,0
631,0,5.33827,0
632,0,1.27172,0
633,0,3.45637,0
634,0,2.29847,0
635,0,3.49682,0
636,0,3.85926,0
637,0,3.31986,0
638,0,6.18866,0
639,0,2.91246,0
640,0,5.89966,0
641,0,5.5815,0
642,0,2.76281,0
643,1,6.25904,1.12687e-07
644,0,1.37094,0
645,0,3.15403,0
646,0,2.32976,0
647,0,1.00881,0
648,0,2.41405,0
649,0,1.64738,0
650,0,2.84144,0
651,0,3.55284,0
652,0,4.88467,0
653,0,0.505849,0
654,0,1.98172,0
655,0,3.8614,0
656,0,3.0804,0
657,0,1.88463,0
658,0,2.80952,0
659,0,2.48524,0
660,0,2.8662,0
661,0,3.28877,0
662,0,6.55829,0
663,0,2.38825,0
664,0,1.09666,0
665,0,2.02626,0
666,0,0.784285,0
667,0,3.01134,0
668,0,6.92814,0
669,0,3.79533,0
670,0,5.61963,0
671,0,2.87489,0
672,0,1.89997,0
673,0,1.35397,0
674,0,5.25785,0
675,0,3.14113,0
676,0,2.9176,0
677,0,2.88855,0
678,0,2.69136,0
679,0,2.2942,0
680,0,2.55986,0
681,0,1.99879,0
682,0,5.7965,0
683,0,3.69869,0
684,0,1.24944,0
685,0,1.60494,0
686,0,5.23721,0
687,0,5.71643,0
688,0,6.73592,0
689,0,3.7159,0
690,0,2.80565,0
691,0,0.966965,0
692,0,3.29186,0
693,0,2.26008,0
694,1,1.97208,0.00683364
695,0,1.85341,0
696,0,1.98555,0
697,0,2.34811,0
698,0,5.44833,0
699,0,1.74259,0
700,0,6.23451,0
701,0,2.55109,0
702,0,3.2297,0
703,0,3.5356,0
704,0,7.95099,0
705,0,1.44575,0
706,0,5.69576,0
707,0,1.73844,0
708,0,1.86157,0
709,0,3.4574,0
710,0,2.34979,0
711,0,1.40672,0
712,0,1.89221,0
713,0,1.79183,0
714,0,3.00526,0
715,0,1.72841,0
716,0,1.97369,0
717,0,2.68571,0
