Evento,KE,px,py,pz,x,y,z
1,7.74636e+06,0.708477,0.463058,-0.532576,387.475,89.5298,-426.2,
5,0.0733731,-0.0342328,-0.703763,-0.70961,-76.319,49.8606,-426.2,
6,1.18347e+06,-0.794071,0.202623,0.573058,-160.12,-414.236,426.2,
7,2.51288e+06,0.924496,0.344305,-0.16359,426.2,160.586,-73.8746,
8,4.04965e+06,0.623592,-0.776369,0.0915601,426.2,-368.391,-48.0197,
9,0.0520299,0.163214,-0.93531,-0.313937,84.3831,-426.2,111.578,
10,0.104517,-0.771038,-0.473731,-0.425534,-426.2,-127.751,-349.261,
13,7.19925e+06,-0.038358,-0.964392,0.26168,-15.9146,-426.2,114.929,
16,0.106731,0.692371,0.204812,-0.691863,159.303,-39.5985,-426.2,
18,4.44772e+06,-0.397718,-0.454273,-0.797155,-214.901,-243.533,-426.2,
19,5.46457e+06,-0.884726,-0.0748072,0.460069,-426.2,-36.1587,222.415,
20,926936,0.405818,-0.867969,-0.286253,-76.2076,-426.2,70.6608,
25,4516.15,-0.549032,-0.125713,0.826293,-426.2,244.031,-58.7001,
33,0.0956463,0.97623,0.212093,0.0446275,426.2,56.96,271.573,
38,7205.11,0.505951,0.0945645,0.857363,-122.834,-314.685,426.2,
39,4.11381e+06,0.734991,0.333743,-0.590257,201.043,125.162,-426.2,
40,1.29972e+06,-0.858288,0.00148695,-0.513167,-426.2,203.324,89.5097,
42,0.164929,-0.458376,0.472976,0.752453,232.286,214.851,426.2,
43,1.55018e+06,-0.116622,0.972588,0.201179,362.118,426.2,-102.307,
48,1452.62,-0.751752,0.33804,-0.566214,54.2081,-165.506,-426.2,
49,0.30427,-0.472096,-0.334216,0.815736,-46.0203,-426.2,-400.815,
51,4.66352e+06,0.34043,0.76702,0.543863,189.147,426.2,299.322,
52,104534,0.0872663,-0.928861,0.360002,-163.747,252.791,426.2,
54,6.41622e+06,-0.672476,0.187833,-0.715887,-399.745,109.547,-426.2,
56,0.0690128,-0.926905,-0.371013,0.0565416,-426.2,-131.43,-199.989,
57,5.24262e+06,-0.201422,-0.329822,-0.922305,-91.6795,-151.255,-426.2,
58,2.76428e+06,-0.483816,-0.19509,0.853148,182.108,6.51829,426.2,
60,3.10133e+06,-0.150067,-0.452679,-0.878955,38.4373,-357.328,-426.2,
62,45403.9,0.774825,0.340628,0.532559,426.2,-160.727,148.112,
64,0.0897074,-0.937079,0.345052,0.0531244,-426.2,-236.565,-53.6477,
68,1.09254e+06,0.232775,-0.948084,0.216684,102.814,-426.2,97.1937,
78,252982,-0.0707362,-0.511277,-0.8565,73.7701,248.643,-426.2,
79,0.00741511,0.215915,0.838771,-0.499844,-75.8381,426.2,-51.7764,
80,0.0868389,-0.911446,-0.26852,0.31171,-126.284,-426.2,158.309,
81,3.44274e+06,-0.273864,-0.957755,0.087771,-121.806,-426.2,40.3672,
83,5.95941e+06,-0.84224,-0.524077,0.126393,-318.231,-426.2,-72.2738,
84,3.94798e+06,-0.558196,0.100502,0.8236,-287.674,52.9629,426.2,
85,6.94827e+06,-0.156773,0.517545,0.841171,-113.632,146.353,426.2,
86,1.70412e+06,0.612449,0.143523,0.777372,426.2,-75.3879,399.352,
87,3.02712e+06,-0.867591,-0.312693,-0.386663,-426.2,-382.789,-70.6075,
88,0.595495,-0.804772,0.160849,-0.571375,-392.538,173.504,-426.2,
93,3.18758e+06,-0.588395,-0.779768,0.213901,-426.2,-187.722,62.0215,
95,0.135774,0.783293,0.614903,-0.0913629,426.2,330.735,227.751,
96,40715,0.203737,0.0610045,0.977123,426.2,322.03,306.02,
98,1.92835e+06,0.915712,0.291264,0.276834,426.2,138.106,128.237,
99,3.62577e+06,-0.847551,0.341963,0.405855,-426.2,189.4,7.64139,
102,3.40931e+06,0.554955,0.236222,-0.797636,356.122,-54.9145,-426.2,
104,0.0736434,0.980903,-0.193889,0.0153469,54.8673,-426.2,-180.11,
105,56072.5,0.304705,0.951071,-0.051184,-156.398,426.2,-178.081,
106,0.0900534,-0.800072,-0.38512,0.459964,-426.2,205.456,226.256,
108,2.12641e+06,0.885351,0.307496,-0.348711,426.2,238.587,-117.928,
109,2.85245e+06,-0.229591,-0.0983111,0.968309,-99.2624,-44.0787,426.2,
110,0.0287361,-0.637015,-0.134666,0.758998,-426.2,309.78,-152.228,
112,1.87271e+06,-0.460302,-0.00332724,0.887756,-364.153,43.737,426.2,
113,0.0269309,-0.572776,0.688532,0.444806,-426.2,-415.921,-50.8045,
115,9.58093e+06,-0.940974,-0.280011,0.190162,-426.2,-40.143,280.214,
116,0.0315207,0.98829,0.151035,0.0217083,426.2,-341.067,-78.5176,
118,763775,0.0849105,0.303241,-0.949123,-76.6027,312.291,-426.2,
119,3.06394e+06,-0.213308,-0.188867,0.958556,397.625,32.3571,426.2,
122,0.0955196,-0.881722,0.375157,0.286048,-426.2,29.2649,-98.1231,
123,2.21125e+06,-0.343471,0.883223,-0.319286,-133.843,426.2,-230.21,
126,0.0402653,0.0359464,-0.992953,0.112922,-141.342,-426.2,-326.35,
129,3.90874e+06,-0.902735,0.425432,0.0638548,-426.2,-25.0947,4.87728,
131,0.0582855,0.845177,-0.0379733,-0.533137,426.2,-14.4943,-200.52,
132,18.7676,0.894271,0.134234,0.426921,-362.317,-35.143,426.2,
133,1.74562e+06,-0.323071,0.755615,-0.569799,-41.2323,426.2,-120.099,
134,711625,-0.0164296,-0.348854,-0.937033,-198.574,49.8278,-426.2,
135,3.7511e+06,0.869588,0.45202,0.198732,426.2,108.519,217.901,
137,0.0474095,-0.824274,0.248439,0.508773,-358.236,291.63,426.2,
138,0.18737,0.214712,0.399818,-0.891092,-238.1,426.2,151.154,
139,5.94453e+06,0.355795,0.934127,-0.028584,161.885,426.2,-10.9086,
140,2.24167e+06,-0.994768,0.101772,-0.00888235,-426.2,-65.2493,235.374,
141,1.21089e+06,-0.396722,0.881688,-0.255417,179.979,426.2,-42.7673,
142,0.167996,0.616733,-0.232333,-0.752105,148.336,11.321,-426.2,
144,7.5276e+06,-0.0742424,0.715233,0.694931,-46.6812,426.2,415.468,
145,2.71843e+06,0.19847,-0.873347,-0.444832,-41.7479,-426.2,-186.12,
149,7.1341e+06,-0.387147,-0.919175,-0.0723483,-177.986,-426.2,-32.0877,
152,6.1273e+06,-0.395174,0.560363,-0.727895,-230.033,327.815,-426.2,
154,817896,-0.999498,0.00295298,-0.0315388,-426.2,152.233,355.191,
155,4.01477e+06,0.804942,0.449074,0.387815,426.2,236.912,205.799,
156,699006,-0.55803,0.522959,-0.644295,-426.2,203.741,-338.879,
158,5.15347e+06,0.425045,0.786703,0.447701,67.0177,423.657,426.2,
159,0.00370414,-0.367272,-0.877217,-0.309195,-301.3,266.361,-426.2,
160,5.56072e+06,-0.221562,0.650069,0.726857,-259.896,-212.168,426.2,
161,5.77258e+06,-0.843894,0.240764,-0.479453,-426.2,341.912,22.8306,
