Evento,KE,px,py,pz,x,y,z
1,1.14988e+06,-0.451642,-0.452958,-0.768667,341.028,67.1433,-502.4,
4,3.50767e+06,0.290467,0.511582,-0.808649,182.693,244.891,-502.4,
5,0.0199694,-0.849064,0.4484,-0.279336,-502.4,26.5135,-379.413,
7,6.7e+06,0.109743,-0.370516,-0.92232,118.878,-259.438,-502.4,
10,3717.46,0.40251,-0.857844,-0.319514,2.2324,-502.4,-113.655,
11,1.02929e+06,-0.85816,-0.511703,-0.0414804,-502.4,-420.393,303.144,
21,0.0396834,0.579841,0.398641,-0.710542,502.4,91.2003,-171.954,
41,0.0740897,-0.758147,0.352789,-0.54841,351.763,502.4,416.74,
43,783.339,-0.452821,-0.263838,-0.85167,-330.386,211.245,-502.4,
44,0.0113007,0.946811,0.300782,-0.114363,201.76,502.4,-159.036,
46,3.03606e+06,0.0910538,0.379405,0.920739,240.895,-105.047,502.4,
47,829.912,0.740279,-0.645264,-0.188736,502.4,-73.802,-292.94,
48,0.0295163,0.296264,0.735164,0.609722,464.232,502.4,-403.484,
55,11.2189,-0.5969,0.0144655,0.802185,-502.4,277.542,253.466,
56,1.16079e+06,-0.691213,-0.629615,0.354695,-502.4,-123.579,-300.418,
60,108.947,-0.797076,0.500082,0.338509,-502.4,1.58023,-312.345,
67,0.0103355,0.125228,0.948422,0.291227,-55.4393,502.4,259.214,
71,6.05334e+06,-0.790856,0.391532,0.470372,-502.4,248.789,298.687,
72,0.014978,-0.896549,-0.441079,-0.0406039,-14.3282,-502.4,473.058,
80,5.10726e+06,-0.169776,0.401806,-0.899849,-94.5286,225.75,-502.4,
86,4.69093e+06,0.624055,0.781019,0.0237656,502.4,451.264,50.8714,
87,1.93959e+06,-0.270621,0.103575,0.957098,283.749,-95.5242,502.4,
88,5.07559e+06,0.157575,0.941894,-0.296657,81.8095,502.4,-158.526,
90,4.88989e+06,-0.550457,-0.497662,0.67032,-109.613,-502.4,466.898,
92,0.0254082,0.902552,0.430578,-0.00159485,502.4,105.445,-18.813,
95,5.74996e+06,-0.432514,-0.316872,0.844111,-106.72,-93.8326,502.4,
101,8.53135e+06,0.786231,0.127268,0.604685,502.4,82.0624,383.825,
116,305255,0.0440523,-0.997179,-0.0607788,-281.469,-502.4,26.5298,
119,0.18375,0.0979854,-0.351073,0.931207,17.9714,57.5308,502.4,
121,4.64666e+06,0.055767,-0.771449,0.633843,11.4584,-502.4,95.5508,
123,4.10827e+06,-0.571979,-0.473153,0.670049,-134.232,-142.125,502.4,
127,6.38274e+06,-0.379668,-0.0834243,0.921354,-204.479,-47.0675,502.4,
131,169734,-0.00551312,0.979702,-0.200385,44.2244,502.4,244.113,
134,0.00635214,0.874779,-0.0678308,-0.47975,141.712,-479.644,-502.4,
136,2.61682e+06,-0.275685,-0.833217,0.47932,-174.992,-244.019,502.4,
150,0.0213938,0.0510039,-0.212633,-0.9758,135.836,105.52,-502.4,
155,429935,0.165488,-0.981381,0.0974892,159.379,-502.4,-120.533,
167,4.66303e+06,-0.236063,0.896178,-0.375686,-231.442,502.4,-128.358,
168,0.081213,-0.532527,-0.782448,0.322785,-502.4,84.6968,25.8617,
