Evento,KE,px,py,pz,x,y,z
1,7.66522e+06,0.437618,0.483238,-0.758269,409.749,108.064,-451.6,
2,1.81124e+06,0.0798533,-0.996631,-0.0187341,228.325,-451.6,-87.7584,
6,0.0582386,-0.124635,-0.950653,-0.28412,-264.503,-451.6,128.307,
7,3.16365e+06,0.881048,-0.241997,-0.406439,451.6,63.9003,-49.6145,
16,3.87449e+06,0.923098,-0.274214,-0.269623,451.6,-133.322,-129.022,
19,5.29168e+06,0.93662,-0.264003,0.230314,451.6,-116.748,425.128,
20,0.125173,0.345113,0.589228,0.730553,-78.2343,-102.762,451.6,
21,0.0180961,0.440108,0.453382,0.77508,366.02,-44.5474,451.6,
25,0.0255338,0.341896,0.235784,-0.909678,-110.43,-230.698,-451.6,
27,3.83741e+06,0.192822,-0.891441,0.410064,209.554,-235.141,451.6,
30,0.024191,0.00401602,-0.55916,-0.82905,221.231,-451.6,161.854,
31,0.156052,-0.209363,0.0248909,0.977521,205.743,325.513,451.6,
32,0.100614,0.382904,-0.577153,0.721303,235.43,-451.6,-350.967,
36,2.4106e+06,-0.787262,-0.207747,-0.580568,-451.6,-340.074,189.79,
37,0.0971896,-0.960912,-0.0169167,0.276336,-451.6,-430.976,-228.365,
38,82.9415,0.960923,-0.276812,-0.00167062,451.6,84.2362,255.701,
43,0.0787243,0.934442,-0.332075,0.128623,451.6,260.41,324.125,
44,24827.4,0.708242,-0.524066,-0.473021,-87.6082,-451.6,-125.428,
46,1041.23,-0.858576,-0.268242,0.436913,-234.872,-372.086,451.6,
48,0.0798234,0.443899,-0.792529,0.418153,451.6,170.852,6.56106,
49,3.45756e+06,0.235767,-0.903354,0.358283,-149.045,-451.6,139.542,
50,0.0375863,-0.428924,0.760413,-0.487644,-102.131,451.6,162.127,
54,0.0220264,0.589972,-0.120511,-0.79838,339.562,-204.032,-451.6,
55,0.0419078,-0.646264,-0.0301756,0.762517,64.8576,-226.594,451.6,
56,1.50599e+06,0.745258,0.548313,0.379398,107.837,451.6,-106.65,
60,5.18934e+06,0.239484,0.0546053,-0.969364,367.008,305.507,-451.6,
61,0.0249561,-0.0134498,-0.281346,0.959512,-247.155,323.612,451.6,
65,5.66055e+06,0.145388,0.26139,-0.954221,67.7364,125.951,-451.6,
69,0.0658321,0.527783,-0.783824,0.327208,55.6769,-73.5917,451.6,
72,2.98236e+06,0.615216,0.754152,-0.229705,194.801,451.6,-128.909,
73,0.039186,-0.833701,-0.552213,0.00186994,-451.6,333.576,84.2497,
77,2.73264e+06,0.50316,-0.784667,0.362116,288.073,-451.6,209.754,
79,4.85132e+06,0.431728,-0.732101,-0.526915,46.9498,-451.6,-220.045,
81,1.24597e+06,-0.967935,0.128783,0.215679,-451.6,-250.882,36.9408,
82,1.02036e+06,0.796357,-0.140452,-0.588293,451.6,-109.144,0.783886,
83,345163,0.124057,-0.55056,0.825526,156.883,298.966,451.6,
84,0.0273762,-0.519531,-0.766739,0.377093,-451.6,-197.173,184.724,
85,7.88385e+06,-0.370555,-0.786202,0.494545,-266.173,-451.6,221.828,
86,1.49772e+06,-0.874804,-0.315585,-0.367593,-387.709,-451.6,-314.671,
89,0.00969965,-0.169025,-0.0249123,-0.985297,-64.1634,40.799,-451.6,
95,4.7375e+06,-0.88675,0.245789,-0.391486,-451.6,127.043,-201.347,
98,7.71478e+06,0.333196,-0.822817,-0.460383,215.862,-451.6,-254.517,
100,1.73692e+06,-0.947086,0.094952,0.306615,-451.6,333.351,-228.332,
106,2.33667e+06,0.934543,-0.329622,0.134085,451.6,-89.0973,-54.1146,
110,0.00491696,-0.765905,-0.0818345,-0.637724,-451.6,320.602,-347.504,
111,6.62979e+06,-0.584169,0.761449,-0.280966,-347.083,451.6,-169.319,
113,1.63551e+06,-0.431491,-0.467373,0.771608,-451.6,211.135,156.458,
119,3.15748e+06,0.332048,0.765648,-0.550933,-29.2151,451.6,291.362,
122,1.40571e+06,-0.221174,0.878129,-0.42423,-13.5991,451.6,157.934,
123,1.23608e+06,-0.731445,0.65398,0.193129,-451.6,120.409,-361.484,
132,0.458085,0.658713,-0.75024,0.0568909,451.6,-336.823,249.121,
133,239883,-0.452754,-0.842558,0.291735,-183.543,-451.6,249.962,
134,308187,0.309936,0.823736,0.474762,451.6,-22.1868,-47.0657,
137,0.0529069,0.0547391,0.225925,0.972606,-298.167,432.871,451.6,
140,5.09003e+06,-0.105274,0.981568,0.159503,-45.8859,451.6,73.2132,
141,0.455296,0.511974,-0.645596,0.566646,451.6,215.631,190.74,
143,3.5869e+06,0.217423,0.925832,0.309131,105.343,451.6,148.167,
146,0.044717,0.0494902,0.991677,-0.118857,51.3264,451.6,-96.4343,
149,1.4018e+06,-0.72598,-0.343884,0.595564,-166.2,87.4369,451.6,
151,5.32273e+06,-0.816062,-0.173081,0.551439,-398.847,-55.0099,451.6,
154,0.065532,0.230456,0.0319991,0.972556,-133.504,59.5376,451.6,
157,0.0472171,-0.791948,0.434142,-0.429347,-451.6,-106.145,-125.144,
161,5192.78,0.699848,0.162751,-0.695504,451.6,-105.26,104.2,
162,0.0408487,-0.764207,-0.293007,0.574573,-451.6,3.2078,-46.0453,
163,3.61838e+06,0.485811,-0.771865,0.410137,284.218,-451.6,237.473,
164,0.021828,-0.298514,0.647313,-0.701339,372.024,-74.6271,-451.6,
166,1.81924e+06,-0.0822983,0.0259328,-0.99627,-37.1852,14.0606,-451.6,
175,485132,0.834327,0.407856,-0.37088,451.6,341.373,-93.0685,
176,3.28278e+06,-0.824943,-0.565035,0.0143082,-451.6,-159.848,262.563,
178,1.26672e+06,0.945205,0.264854,-0.190895,281.449,451.6,-340.989,
179,0.0591447,0.800339,-0.392395,-0.453302,451.6,-32.9789,55.703,
182,4.94425e+06,0.872936,-0.413271,0.259209,451.6,-212.869,133.494,
184,2.18199e+06,0.0782144,-0.99177,-0.101366,34.0753,-451.6,-48.0315,
186,2.30251e+06,0.181304,0.863748,0.470179,-74.518,451.6,74.0732,
187,3.33345e+06,-0.687327,-0.353689,0.634417,-451.6,204.395,312.859,
