Evento,KE,px,py,pz,x,y,z
15,4.87932e+06,0.0598352,0.904373,0.422528,37.83,553.2,261.215,
37,613169,0.511953,-0.770055,0.380683,-251.888,-73.1127,553.2,
39,156789,0.092293,0.541086,0.835887,-138.384,553.2,-39.6013,
41,2.52536e+06,-0.599837,0.631248,-0.491652,-553.2,495.059,-258.515,
60,0.0477852,-0.976782,-0.0269756,0.212532,-553.2,-73.1649,-22.0541,
71,0.0616598,0.559425,-0.0459352,0.827607,553.2,32.9527,-36.4733,
73,13258.1,0.948385,-0.190615,-0.253439,553.2,462.232,-202.28,
81,0.049909,0.598531,-0.753847,-0.271063,-204.613,-553.2,-232.059,
103,0.08732,-0.0874893,-0.858685,-0.50498,218.487,-553.2,373.412,
110,0.0906285,0.79139,-0.558759,0.247972,-181.547,-553.2,229.846,
119,0.0656784,-0.196586,0.454606,0.868727,-17.7875,-347.719,553.2,
127,1.48964e+06,-0.950368,0.293493,0.103262,-10.7983,553.2,-117.233,
136,9.9703,0.374075,0.877263,-0.300795,553.2,52.6224,-296.284,
145,0.116833,0.0512478,0.758412,0.649757,-186.716,212.612,553.2,
154,0.106349,0.00169205,-0.314411,-0.949286,79.0576,-27.428,-553.2,
155,0.192078,0.381429,-0.815085,0.436059,184.481,145.784,553.2,
174,0.03765,0.0536139,0.144449,0.988059,-314.345,-63.1499,553.2,
184,0.0227584,-0.311557,-0.94458,0.103442,374.347,-553.2,431.903,
185,1.21469e+06,0.500407,-0.0826928,-0.861832,553.2,-163.686,-112.707,
189,5.32315e+06,-0.807608,0.572588,0.14111,-553.2,159.852,190.461,
191,57.3957,0.535412,0.319379,0.781877,230.589,-149.123,553.2,
228,6.06183e+06,-0.366787,0.882631,-0.29399,322.705,553.2,-0.99817,
242,0.0739442,-0.735312,-0.131876,0.664775,-13.4358,-33.0062,553.2,
245,7.04577e+06,0.168598,-0.0509493,-0.984367,94.4659,-26.7107,-553.2,
251,0.0996059,-0.63919,-0.698144,-0.322537,-553.2,-389.167,-55.8668,
264,0.219026,-0.76501,-0.289637,0.575213,-553.2,286.293,87.595,
287,0.0685687,-0.424651,0.576382,-0.69818,201.459,-336.718,-553.2,
293,6.28263e+06,-0.771698,0.621668,0.134201,-425.708,553.2,-148.847,
302,0.03325,0.39926,0.328629,-0.855918,-276.447,-4.39608,-553.2,
308,0.0488392,0.793499,0.582239,-0.177076,553.2,203.077,475.693,
317,1.43632e+06,0.545269,0.293598,-0.785163,553.2,465.829,19.1726,
328,0.0321435,-0.0619122,-0.628043,0.775712,74.1683,-553.2,73.6958,
329,7.83436e+06,-0.136019,-0.9121,0.386746,22.8052,-553.2,119.445,
341,3.47139e+06,0.118196,0.114813,-0.98633,-445.353,-66.4813,-553.2,
347,1057.25,-0.400138,-0.439086,-0.804421,159.763,207.318,-553.2,
350,248930,0.58365,-0.569489,-0.578822,553.2,-333.57,-202.012,
356,7.35873e+06,-0.994599,-0.0188459,-0.102069,-553.2,-206.662,346.819,
363,0.0388203,0.282302,-0.695903,0.660322,-204.094,-553.2,496.96,
372,0.0611291,-0.342245,-0.808117,-0.479391,-94.9039,-553.2,-54.5747,
386,5.66134e+06,0.293083,0.857731,0.422374,123.206,553.2,195.119,
400,526469,0.0808944,0.398511,0.913589,31.8706,425.539,553.2,
417,18716.2,-0.543203,-0.560906,-0.624752,186.969,-116.34,-553.2,
419,0.101685,0.0276414,-0.920427,-0.389936,210.09,-553.2,158.81,
427,6.92934e+06,0.113726,-0.64557,0.755186,82.6738,-475.693,553.2,
428,2.71809e+06,-0.74477,0.00802904,-0.667273,-311.355,-106.128,-553.2,
453,3.35623e+06,0.058635,0.399838,0.914708,-145.956,464.441,553.2,
469,2.12507e+06,0.0956371,-0.328884,0.939515,-21.4165,-28.701,553.2,
484,0.0408174,0.770142,-0.256604,-0.583983,124.596,-553.2,132.007,
492,0.107469,-0.977671,0.157304,-0.13934,-553.2,8.03677,160.275,
493,3.06076e+06,0.949779,-0.226611,0.215797,553.2,-23.0565,-357.903,
500,0.0332046,0.668554,0.660675,-0.341386,-215.843,553.2,-272.062,
502,1.52609e+06,-0.59338,-0.758278,-0.270028,-553.2,-177.359,99.7093,
505,35.3176,0.0125089,0.790407,0.612455,-131.175,54.6183,553.2,
518,2.0978e+06,0.98121,0.190761,-0.0289465,553.2,-154.3,5.27409,
519,1.95967e+06,0.918228,0.354694,0.176207,553.2,98.1629,-356.948,
523,0.0434885,-0.97796,0.196711,0.0699986,-553.2,212.382,-402.558,
527,1.58831e+06,-0.497817,-0.656139,0.567151,-553.2,54.8254,-196.405,
542,2.69742e+06,0.665029,0.660317,-0.34888,553.2,494.373,-299.905,
544,0.119273,-0.931216,0.172186,0.321229,-127.403,553.2,-148.658,
545,73.7958,0.721852,-0.660692,-0.205952,-51.3275,-553.2,333.281,
550,99.0316,-0.178302,-0.320475,-0.930325,251.049,157.765,-553.2,
580,0.224183,-0.529313,-0.590587,-0.609126,-553.2,36.7374,-146.437,
600,3124.32,0.774776,0.618808,-0.12961,0.0125827,553.2,-148.434,
604,0.0328677,0.389004,-0.844044,0.369141,-78.4075,-553.2,112.658,
613,5.47793e+06,-0.89103,0.106729,-0.441219,-198.959,60.6169,-553.2,
617,1.8581e+06,-0.231989,-0.959366,0.160616,-553.2,-232.121,63.4751,
645,0.0579327,0.419459,0.808986,-0.41182,-355.292,553.2,-6.78268,
656,0.0480022,0.6278,0.696893,0.34671,287.503,553.2,-156.865,
657,0.00974296,-0.513619,-0.509076,-0.690679,-553.2,-258.85,-148.946,
662,512606,0.800498,0.507495,0.31883,553.2,148.22,238.08,
677,2.84393e+06,-0.0608717,0.34035,-0.938326,72.0707,264.511,-553.2,
695,0.0508334,0.589682,0.0153982,0.807489,553.2,-486.372,257.662,
696,0.0375688,0.543101,0.107909,0.832704,151.686,-103.898,553.2,
703,1.98584e+06,-0.371287,-0.162715,-0.91415,142.201,-507.149,-553.2,
721,1.63108e+06,0.29128,-0.00301141,-0.956633,69.4405,67.9091,-553.2,
741,969798,0.330603,0.917932,0.219323,-21.5411,553.2,228.703,
756,0.02143,0.597956,-0.384905,-0.703062,553.2,397.134,-68.673,
760,0.105167,0.257246,0.681564,-0.685051,-191.295,44.5934,-553.2,
770,1.99328e+06,0.377989,-0.49099,0.784891,45.9223,-118.235,553.2,
771,4.03142e+06,-0.479975,-0.772023,0.41666,425.92,420.494,553.2,
780,0.0232151,-0.453428,-0.428617,0.781467,-385.352,-553.2,137.782,
792,0.00850309,-0.252164,0.604426,-0.7557,531.141,-287.687,-553.2,
799,0.0609139,-0.142526,-0.466967,0.872713,163.449,-161.287,553.2,
807,0.00367845,-0.514835,-0.701176,-0.493251,-51.6914,-553.2,-453.338,
825,219671,-0.64018,-0.267623,-0.720103,499.111,-85.9203,-553.2,
868,0.0866848,-0.655298,0.691005,-0.305119,-445.464,553.2,-40.5178,
870,0.034058,0.599848,-0.786604,0.146412,16.2928,-553.2,-37.8197,
