Evento,KE,px,py,pz,x,y,z
14,0.0129238,0.959212,0.279819,-0.0401616,-181.537,527.8,-450.039,
27,3.4333e+06,0.103912,-0.970215,-0.218826,185.647,-527.8,-174.414,
31,0.0139852,0.876801,0.471917,-0.0922755,-47.3309,527.8,-44.6774,
37,0.0240359,0.218936,0.346317,0.912212,125.917,527.8,-411.747,
43,2.85214e+06,-0.456205,0.80976,-0.369007,-527.8,245.87,-213.211,
52,0.0426995,0.0866441,0.931363,0.353632,6.80361,1.57091,527.8,
62,2.77442e+06,0.866369,-0.0575224,-0.49608,527.8,61.4538,22.4089,
63,2.64547e+06,-0.0133046,0.988221,-0.152453,-200.744,527.8,138.216,
81,704835,-0.128348,-0.0781115,-0.988648,-84.1148,242.459,-527.8,
87,0.0253968,0.163387,-0.983981,-0.0713117,-392.271,-527.8,-191.018,
89,1.51549e+06,0.767057,-0.57698,0.280566,527.8,39.1858,43.2854,
127,0.0710132,-0.120061,-0.435538,0.892128,186.249,-402.048,527.8,
130,0.050134,0.289103,0.518388,0.804794,527.8,205.649,220.381,
131,0.0444488,-0.856685,-0.156252,0.491606,-199.135,215.988,527.8,
135,219091,-0.702163,-0.629043,-0.333574,-110.795,-375.98,-527.8,
138,9.49719e+06,-0.604995,-0.76562,-0.218648,-418.492,-527.8,-149.937,
153,4.04237e+06,0.321654,-0.943387,-0.0809858,178.973,-527.8,-43.7357,
165,112.145,-0.935737,0.16678,-0.310775,-527.8,118.354,-112.095,
168,0.017209,0.154451,-0.913997,0.375173,121.377,-383.44,527.8,
181,5.95391e+06,0.00241869,0.227782,-0.973709,-0.899474,123.941,-527.8,
182,0.0107188,0.25188,-0.953166,-0.167422,-10.5926,-527.8,-88.9253,
184,2.46592e+06,0.116869,0.790275,0.601504,-305.558,135.071,527.8,
195,0.014428,-0.0637983,0.860393,0.505621,22.6632,527.8,-58.1963,
200,101823,0.463098,0.64544,0.60741,-61.9073,527.8,-370.464,
