Evento,KE,px,py,pz,x,y,z
246,0.0516076,0.776386,0.513402,0.365571,477,231.277,288.622,
250,106716,0.691192,-0.638014,0.339399,-61.4727,-477,359.883,
252,1.41051e+06,-0.434679,-0.872274,0.224037,-314.431,-477,-186.182,
257,0.160701,0.400087,0.785651,-0.471893,-442.349,477,-44.5239,
258,1.0149e+06,-0.177853,-0.622871,-0.76184,434.734,-37.962,-477,
259,0.0947895,-0.698038,-0.302588,-0.648987,-477,-292.667,-273.417,
260,651.609,-0.337801,0.361591,0.868989,269.759,246.566,477,
264,0.0261728,0.40926,-0.903774,-0.125298,414.56,-477,187.311,
265,0.0339597,-0.439576,-0.0708289,0.895408,-111.554,366.243,477,
266,1.26251e+06,-0.587421,0.650631,-0.481265,-10.362,477,42.6361,
272,0.0123393,-0.89278,-0.211671,-0.397668,-477,-96.9042,79.6897,
273,0.00968441,-0.519559,-0.0720257,0.851394,-401.624,310.737,477,
279,708868,0.138031,-0.955184,0.261861,-84.4199,-477,1.00136,
285,0.0616851,-0.644363,0.134221,0.752849,-477,-375.802,382.664,
287,3.76065e+06,0.286959,-0.686554,0.668056,-168.734,-140.812,477,
291,4.91949e+06,-0.950316,0.26947,0.155836,-477,136.456,77.5952,
303,1645.65,0.161406,0.114222,0.980256,-184.713,-235.773,477,
304,6.79092e+06,-0.312612,-0.640974,0.701018,-213.852,-436.141,477,
305,4.94358e+06,-0.917693,-0.397153,0.0104359,-477,-203.656,4.35263,
306,448864,-0.940075,0.118576,-0.319686,-477,352.306,326.446,
308,0.0120303,-0.317951,0.935502,-0.154088,263.839,477,-123.683,
312,2.39647e+06,0.273865,-0.369833,0.887818,-273.714,-128.326,477,
319,5.40903e+06,-0.254028,0.348687,0.902157,-400.157,133.485,477,
327,0.018508,-0.75109,-0.624457,-0.214285,262.427,-477,88.8007,
331,4.32959e+06,-0.323451,-0.208628,-0.922959,-166.183,-110.067,-477,
338,2.79839e+06,0.428848,-0.196658,0.881711,-89.7522,79.2078,477,
340,6.50117e+06,0.242368,-0.374376,0.895042,285.769,10.328,477,
342,7.43287e+06,-0.229996,0.89792,0.37529,-89.3579,477,411.956,
346,6.63165e+06,-0.766126,-0.392201,0.509145,-477,-245.121,316.726,
347,1.47317e+06,-0.521917,-0.399187,0.753825,84.978,-477,-416.713,
348,3.23553e+06,-0.498595,-0.789252,-0.358448,-302.112,-477,-217.175,
352,2.44703e+06,-0.999856,0.00425825,-0.0164158,-477,196.007,-68.3192,
356,3.53953e+06,0.580658,0.556251,0.594492,34.1291,477,157.843,
358,0.0592238,0.467577,-0.81332,0.34624,305.27,-477,-20.8734,
361,15265.6,0.801963,-0.0189546,0.597073,477,111.428,-328.196,
362,5.08631e+06,-0.147091,-0.480709,0.864455,-83.7058,-266.814,477,
363,1.25429e+06,0.77694,0.0446975,0.627986,477,-47.5392,145.515,
366,6.50939e+06,0.90255,-0.416671,-0.108579,477,-218.859,-54.8818,
370,1.12024e+06,-0.402164,0.460989,0.791046,354.139,105.781,477,
373,0.0641703,-0.146488,-0.051943,0.987848,263.053,-185.284,477,
376,0.0105736,-0.679092,0.250083,0.69014,-477,-422.248,-166.348,
383,1465.08,-0.148356,-0.217248,0.964777,-160.262,30.4086,477,
390,996489,0.064303,0.665884,0.743279,16.6912,477,-100.869,
393,4.8175e+06,0.0725054,0.571222,0.817587,421.11,17.129,477,
396,6.76939e+06,0.54947,0.128919,0.825507,316.986,71.575,477,
398,2.74549e+06,0.374219,0.809796,-0.451875,30.4284,477,142.712,
401,5.41039e+06,0.361761,-0.929316,-0.0741694,183.866,-477,-35.9204,
402,762764,-0.655657,0.389963,0.646562,-136.305,-196.468,477,
411,4.65219e+06,0.181813,0.126637,0.975145,90.5444,64.2751,477,
412,0.0455834,0.820988,0.544379,0.172132,477,-43.5579,-263.069,
413,4.38875e+06,-0.276205,0.321978,0.905561,53.2786,252.357,477,
420,2.38534e+06,-0.36352,0.322348,0.874039,-196.328,177.461,477,
426,8771.72,-0.638259,0.731524,-0.23979,428.714,-45.8081,-477,
429,2.17639e+06,-0.463105,-0.34721,0.815463,-327.5,-477,298.248,
433,998093,-0.446409,-0.553677,-0.702966,-37.1145,-477,263.847,
444,0.0202571,-0.208077,-0.687326,-0.695907,215.248,142.007,-477,
446,0.0737481,0.137437,-0.662966,-0.735926,477,204.01,-262.392,
452,77173.6,-0.105472,-0.988029,-0.112577,11.9109,-477,-9.86398,
460,1.19925e+06,0.254783,-0.581733,0.772446,477,-128.897,85.2851,
472,2.78799e+06,-0.582681,-0.588136,0.560874,-156.845,-477,255.446,
474,3.69528e+06,0.685461,0.591598,-0.424447,477,411.846,-298.27,
477,12036.2,0.340307,0.676588,-0.653009,167.211,131.95,-477,
480,2.98864e+06,0.533388,0.845526,-0.0241348,23.5389,477,203.204,
481,0.131987,0.580371,-0.0382159,0.813455,477,286.187,214.086,
483,7.25324e+06,0.243051,0.384646,-0.890491,383.579,477,-366.854,
486,8077.07,-0.815114,-0.515881,-0.263545,-477,281.202,-12.6806,
487,7.07986e+06,0.0248659,0.844347,0.535219,13.8981,477,299.139,
