Event,Hit,KE_i,KE_e
277,0,4.82557,0
278,0,6.59143,0
279,0,2.17463,0
280,0,3.96111,0
281,0,2.78282,0
282,0,6.55757,0
283,0,3.16342,0
284,0,3.85697,0
285,0,3.5872,0
286,1,6.57811,5.3273
287,0,3.18007,0
288,0,0,0
289,0,2.11605,0
290,0,4.63289,0
291,0,2.47632,0
292,0,1.1612,0
293,0,6.66185,0
294,0,0.141232,0
295,0,0.505001,0
296,0,3.92701,0
297,0,4.39961,0
298,0,0.746072,0
299,0,5.67823,0
300,0,3.4534,0
301,1,6.75784,0.262124
302,0,3.21613,0
303,0,2.15774,0
304,0,3.70287,0
305,0,5.03788,0
306,0,1.97453,0
307,0,4.64789,0
308,0,0.848321,0
309,0,3.08772,0
310,0,5.15627,0
311,0,5.1612,0
312,1,4.31734,1.5199e-07
313,0,5.98057,0
314,0,0.833883,0
315,0,3.16767,0
316,0,4.7128,0
317,0,4.42363,0
318,0,1.20696,0
319,0,3.73402,0
320,0,2.87442,0
321,0,7.05499,0
322,0,2.0666,0
323,1,4.47526,0.0609384
324,1,8.40366,0.0213016
325,0,3.75022,0
326,0,3.163,0
327,0,6.02543,0
328,0,5.35273,0
329,0,6.2136,0
330,0,2.49776,0
331,0,6.54562,0
332,0,0.273089,0
333,0,5.25118,0
334,0,0.737256,0
335,0,6.05658,0
336,0,2.00444,0
337,0,5.58514,0
338,0,4.28595,0
339,0,3.63892,0
340,0,1.52261,0
341,0,1.49347,0
342,0,1.53608,0
343,0,3.41461,0
344,1,2.58281,2.64452e-08
345,0,3.29969,0
346,0,2.65252,0
347,0,8.85235,0
348,0,7.23234,0
349,0,3.15051,0
350,0,0.307036,0
351,1,8.30577,5.34635e-08
352,1,7.34354,7.34354
353,0,6.8279,0
354,0,4.61194,0
355,0,5.52633,0
356,0,8.42312,0
357,0,2.43494,0
358,0,0.920224,0
359,0,3.48658,0
360,0,3.14871,0
361,0,4.62331,0
362,0,0.855746,0
363,0,5.12162,0
364,0,3.47678,0
365,0,1.59346,0
366,0,5.22389,0
367,0,2.62781,0
368,0,2.82954,0
369,1,5.30725,6.17596e-08
370,1,6.52395,9.38394e-09
371,0,4.70537,0
372,0,2.64533,0
373,0,2.36106,0
374,0,3.81051,0
375,0,0,0
376,0,7.70886,0
377,0,3.41716,0
378,1,7.46565,7.33662
379,0,6.0504,0
380,0,3.19429,0
381,0,3.1766,0
382,0,0.941573,0
383,0,2.7349,0
384,0,6.21238,0
385,1,5.37763,1.88606e-08
386,0,0,0
387,0,1.17742,0
388,0,2.51851,0
389,0,4.22431,0
390,0,0.0706814,0
391,1,2.79892,5.68818e-08
392,0,3.29044,0
393,0,2.88868,0
394,0,4.74062,0
395,0,2.49323,0
396,1,3.08878,0.0016358
397,0,0,0
398,0,0.468392,0
399,0,0.185571,0
400,0,5.43919,0
401,1,5.37719,1.1695e-07
402,1,5.46329,4.79263e-08
403,0,4.22456,0
404,0,5.19796,0
405,0,4.00033,0
406,0,5.4283,0
407,0,0.0535424,0
408,0,0,0
409,0,8.43401,0
410,0,3.39257,0
411,0,3.08013,0
412,0,1.99321,0
413,0,3.09761,0
414,0,0,0
415,0,5.10707,0
416,0,0.432676,0
417,0,3.89299,0
418,1,2.73271,1.26364
419,0,0,0
420,1,3.0782,3.42866e-08
421,0,5.58478,0
422,0,2.98649,0
423,0,2.1572,0
424,0,4.06317,0
425,0,9.1964,0
426,0,5.85945,0
427,1,7.29001,4.92336
428,0,6.09023,0
429,0,3.46763,0
430,0,4.82276,0
431,0,1.55143,0
432,0,6.22652,0
433,0,4.11187,0
434,0,5.17517,0
435,0,2.18432,0
436,0,2.29042,0
437,0,6.98529,0
438,0,5.05096,0
439,0,5.94679,0
440,0,1.97204,0
441,0,2.06275,0
442,0,4.02712,0
443,0,0.725604,0
444,0,4.49249,0
445,0,1.77128,0
446,0,0.142259,0
447,0,8.86217,0
448,0,3.58517,0
449,0,1.46484,0
450,0,4.62874,0
451,0,5.22897,0
452,0,2.28202,0
453,0,1.99214,0
454,0,4.99758,0
455,0,2.03531,0
456,0,2.78516,0
457,0,5.44488,0
458,0,2.83943,0
459,0,3.67099,0
460,0,2.90527,0
461,0,2.77831,0
462,0,6.16177,0
463,0,3.46978,0
464,0,3.58248,0
465,0,7.71142,0
466,0,5.97327,0
467,1,4.97051,4.72045
468,0,0.0271185,0
469,0,7.16207,0
470,0,3.94865,0
471,0,0.844905,0
472,0,1.74118,0
473,1,5.9375,8.48274e-09
474,0,6.57484,0
475,0,2.37571,0
476,0,1.95877,0
477,0,1.28612,0
478,0,3.45432,0
479,0,2.47375,0
480,0,5.59747,0
481,0,2.11402,0
482,0,0,0
483,1,4.81222,9.52208e-08
484,0,0.334731,0
485,0,2.69753,0
