gpspoint x_lower y
/gps/hist/point 0.03307747605703871 65.0
/gps/hist/point 0.06615495211407742 198.0
/gps/hist/point 0.09923242817111613 309.0
/gps/hist/point 0.13230990422815483 391.0
/gps/hist/point 0.16538738028519354 467.0
/gps/hist/point 0.19846485634223227 486.0
/gps/hist/point 0.23154233239927097 524.0
/gps/hist/point 0.26461980845630967 519.0
/gps/hist/point 0.29769728451334837 507.0
/gps/hist/point 0.33077476057038707 545.0
/gps/hist/point 0.3638522366274258 546.0
/gps/hist/point 0.39692971268446453 550.0
/gps/hist/point 0.43000718874150323 485.0
/gps/hist/point 0.46308466479854193 456.0
/gps/hist/point 0.49616214085558064 474.0
/gps/hist/point 0.5292396169126193 443.0
/gps/hist/point 0.562317092969658 402.0
/gps/hist/point 0.5953945690266967 423.0
/gps/hist/point 0.6284720450837354 434.0
/gps/hist/point 0.6615495211407741 409.0
/gps/hist/point 0.6946269971978128 386.0
/gps/hist/point 0.7277044732548515 378.0
/gps/hist/point 0.7607819493118902 365.0
/gps/hist/point 0.7938594253689291 350.0
/gps/hist/point 0.8269369014259678 320.0
/gps/hist/point 0.8600143774830065 338.0
/gps/hist/point 0.8930918535400452 321.0
/gps/hist/point 0.9261693295970839 318.0
/gps/hist/point 0.9592468056541226 317.0
/gps/hist/point 0.9923242817111613 245.0
/gps/hist/point 1.0254017577682 270.0
/gps/hist/point 1.0584792338252387 235.0
/gps/hist/point 1.0915567098822774 228.0
/gps/hist/point 1.124634185939316 199.0
/gps/hist/point 1.1577116619963548 200.0
/gps/hist/point 1.1907891380533935 163.0
/gps/hist/point 1.2238666141104322 168.0
/gps/hist/point 1.2569440901674709 127.0
/gps/hist/point 1.2900215662245096 124.0
/gps/hist/point 1.3230990422815483 100.0
/gps/hist/point 1.356176518338587 90.0
/gps/hist/point 1.3892539943956257 77.0
/gps/hist/point 1.4223314704526644 46.0
/gps/hist/point 1.455408946509703 48.0
/gps/hist/point 1.4884864225667418 34.0
/gps/hist/point 1.5215638986237805 22.0
/gps/hist/point 1.5546413746808192 6.0
/gps/hist/point 1.5877188507378581 0.0
/gps/hist/point 1.6207963267948966 0.0
