gpspoint x_lower y
/gps/hist/point 3.1085151775327544 65.0
/gps/hist/point 3.0754377014757157 198.0
/gps/hist/point 3.042360225418677 309.0
/gps/hist/point 3.0092827493616383 391.0
/gps/hist/point 2.9762052733045996 467.0
/gps/hist/point 2.943127797247561 486.0
/gps/hist/point 2.910050321190522 524.0
/gps/hist/point 2.8769728451334835 519.0
/gps/hist/point 2.843895369076445 507.0
/gps/hist/point 2.810817893019406 545.0
/gps/hist/point 2.7777404169623674 546.0
/gps/hist/point 2.7446629409053287 550.0
/gps/hist/point 2.71158546484829 485.0
/gps/hist/point 2.6785079887912513 456.0
/gps/hist/point 2.6454305127342126 474.0
/gps/hist/point 2.612353036677174 443.0
/gps/hist/point 2.579275560620135 402.0
/gps/hist/point 2.5461980845630965 423.0
/gps/hist/point 2.513120608506058 434.0
/gps/hist/point 2.480043132449019 409.0
/gps/hist/point 2.4469656563919804 386.0
/gps/hist/point 2.4138881803349417 378.0
/gps/hist/point 2.380810704277903 365.0
/gps/hist/point 2.3477332282208643 350.0
/gps/hist/point 2.3146557521638256 320.0
/gps/hist/point 2.281578276106787 338.0
/gps/hist/point 2.248500800049748 321.0
/gps/hist/point 2.2154233239927095 318.0
/gps/hist/point 2.1823458479356708 317.0
/gps/hist/point 2.149268371878632 245.0
/gps/hist/point 2.1161908958215934 270.0
/gps/hist/point 2.0831134197645547 235.0
/gps/hist/point 2.050035943707516 228.0
/gps/hist/point 2.0169584676504773 199.0
/gps/hist/point 1.9838809915934383 200.0
/gps/hist/point 1.9508035155363996 163.0
/gps/hist/point 1.917726039479361 168.0
/gps/hist/point 1.8846485634223222 127.0
/gps/hist/point 1.8515710873652835 124.0
/gps/hist/point 1.8184936113082448 100.0
/gps/hist/point 1.7854161352512061 90.0
/gps/hist/point 1.7523386591941674 77.0
/gps/hist/point 1.7192611831371287 46.0
/gps/hist/point 1.68618370708009 48.0
/gps/hist/point 1.6531062310230513 34.0
/gps/hist/point 1.6200287549660126 22.0
/gps/hist/point 1.586951278908974 6.0
/gps/hist/point 1.553873802851935 0.0
/gps/hist/point 1.5207963267948965 0.0
