Event,HasHit,Pos
1,0,6.06914
2,1,2.51887
3,1,0.352132
4,1,2.78918
5,1,0.410953
6,1,18.3918
7,0,5.43217
8,1,5.41404
9,0,3.96865
10,0,15.6456
11,1,1.91097
12,1,1.48766
13,0,10.6768
14,1,8.34402
15,1,11.3349
16,0,8.84911
17,1,4.79314
18,0,14.2321
19,0,2.62806
20,0,8.87099
21,0,29.0558
22,0,2.85997
23,0,4.43117
24,0,2.17456
25,0,8.68172
26,1,4.38214
27,0,5.39089
28,1,6.37167
29,1,27.6161
30,0,2.0917
31,0,1.32474
32,1,9.98229
33,0,8.00462
34,0,1.27209
35,0,17.6408
36,0,8.54541
37,0,0.0758416
38,0,3.74281
39,0,8.43884
40,0,0.66385
41,0,17.3472
42,1,6.45653
43,1,3.23665
44,1,5.42334
45,1,2.53334
46,0,4.74147
47,1,0.783785
48,0,3.27343
49,1,2.9792
50,0,0.399703
51,0,38.4975
52,0,10.3766
53,1,6.94169
54,0,21.5944
55,0,18.6879
56,1,7.61533
57,0,1.82266
58,1,14.0083
59,1,4.63595
60,0,1.71825
61,0,19.9922
62,1,0.950312
63,1,0.631358
64,0,7.1491
65,1,1.1646
66,1,15.7534
67,1,7.43839
68,1,9.92437
69,0,22.7451
70,1,5.8022
71,0,2.85751
72,0,1.68656
73,0,6.12712
74,1,6.48294
75,1,5.46998
76,1,1.1673
77,1,8.00163
78,0,14.6149
79,0,1.20615
80,0,20.9884
81,0,6.43047
82,0,5.54395
83,0,10.4831
84,0,4.98553
85,1,3.8191
86,0,0.150948
87,0,3.81076
88,0,6.98955
89,1,4.23891
90,0,8.63552
91,0,7.48247
92,0,5.45508
93,0,0.237495
94,1,4.06739
95,0,5.93941
96,1,3.07108
97,0,4.1502
98,0,11.1817
99,1,3.64559
100,0,1.83299
101,0,4.18667
102,0,21.8985
103,0,3.66346
104,0,0.830714
105,0,8.03279
106,0,2.92562
107,0,9.63214
108,1,1.19023
109,1,9.99426
110,0,0.878556
111,0,17.8108
112,1,8.25041
113,1,8.68355
114,0,4.3174
115,1,1.6419
116,0,1.04332
117,1,5.84228
118,1,8.61422
119,0,17.3048
120,1,1.78433
121,1,0.873454
122,1,11.9878
123,0,10.9545
124,1,6.46738
125,1,11.7596
126,0,0.0307262
127,1,12.1551
128,0,3.61357
129,1,19.0059
130,0,0.380654
131,1,0.365361
132,0,40.7979
133,0,2.66821
134,0,0.670273
135,1,6.59427
136,1,15.2987
137,1,8.94132
138,1,17.3577
139,0,17.5341
140,0,1.54975
141,1,12.1716
142,0,21.1681
143,0,1.76498
144,0,7.39416
145,1,1.54174
146,1,7.4065
147,0,3.97449
148,0,1.09176
149,0,27.4398
150,1,7.01722
151,0,4.77541
152,1,26.9459
153,1,1.92539
154,1,0.411338
155,0,3.88739
156,1,5.46313
157,0,19.5435
158,0,3.02813
159,1,1.12515
160,0,13.5341
161,1,2.50248
162,1,2.34657
163,0,2.34744
164,0,0.807288
165,1,2.7779
166,1,5.17599
167,0,15.8822
168,0,4.20046
169,1,6.52223
170,1,4.83363
171,0,7.2204
172,0,7.40348
173,0,20.8629
174,1,2.68979
175,0,10.4998
176,1,5.05556
177,0,6.59789
178,1,1.96937
179,1,1.35408
180,0,19.3511
181,0,3.23281
182,1,1.34041
183,0,16.6484
184,0,15.7564
185,0,5.35407
186,0,6.2358
187,1,5.12835
188,0,11.0773
189,1,5.23562
190,1,0.996174
191,0,12.8251
192,0,16.6575
193,1,14.721
194,0,14.438
195,1,12.1156
196,1,15.769
197,1,20.6297
198,0,4.79639
199,0,1.1188
200,0,0.447382
201,1,0.234451
202,1,17.1407
203,0,5.35522
204,1,0.299321
205,0,3.10643
206,0,2.67611
207,0,4.96998
208,0,6.23446
209,0,2.3508
210,0,0.448742
211,0,1.19689
212,1,1.27769
213,0,8.50622
214,1,3.83592
215,0,18.0821
216,1,2.29467
217,0,11.5213
218,1,5.13385
219,0,2.02167
220,0,9.40331
221,0,5.35384
222,1,1.0957
223,1,14.3854
224,0,3.09092
225,0,21.8133
226,1,19.1922
