Event,HasHit,Pos
1,0,30.4773
2,1,25.1973
3,0,4.59204
4,1,131.463
5,0,36.6402
6,1,21.4191
7,1,62.1025
8,1,96.6699
9,1,58.091
10,0,8.14989
11,0,36.1994
12,1,139.675
13,0,53.8666
14,0,34.2764
15,0,2.71895
16,0,4.41705
17,0,224.26
18,0,22.658
19,1,2.63514
20,1,57.7047
21,0,20.1325
22,0,1.27228
23,0,117.099
24,0,7.17965
25,0,51.8425
26,0,30.1598
27,0,15.2109
28,0,84.6044
29,0,3.67697
30,1,43.5995
31,0,41.0715
32,0,16.9669
33,1,46.4853
34,1,59.5277
35,1,28.2856
36,0,74.8168
37,1,47.8138
38,1,91.7764
39,0,32.444
40,1,30.5103
41,0,123.02
42,0,29.0326
43,0,60.8993
44,0,65.5425
45,0,126.672
46,0,107.236
47,0,235.302
48,1,6.60303
49,0,52.4072
50,0,204.99
51,1,41.0798
52,1,32.7993
53,1,11.4166
54,0,6.78237
55,0,171.544
56,0,2.68838
57,0,175.516
58,1,69.2493
59,0,24.7973
60,0,9.57738
61,0,109.806
62,0,79.5348
63,1,67.6313
64,1,8.14241
65,0,91.0946
66,0,41.8266
67,0,5.87698
68,1,11.8879
69,0,26.4918
70,0,5.80908
71,0,38.4751
72,0,7.13425
73,1,85.218
74,1,38.2036
75,1,14.8496
76,1,73.4295
77,1,72.6998
78,0,139.306
79,0,27.2713
80,1,159.237
81,0,16.5237
82,0,2.9522
83,0,71.1005
84,1,114.483
85,0,75.9755
86,0,194.796
87,0,0.403813
88,0,50.914
89,1,14.2433
90,0,70.7279
91,1,103.007
92,0,25.7518
93,0,34.343
94,0,55.3656
95,0,292.69
96,0,144.854
97,0,41.2713
98,1,129.841
99,1,28.2927
100,1,8.32578
101,1,38.7039
102,0,95.8657
103,0,28.7855
104,0,180.221
105,1,11.9017
106,1,159.105
107,0,43.0606
108,0,242.622
109,1,32.0567
110,1,27.306
111,0,6.80245
112,0,6.0213
113,0,24.1521
114,1,22.8442
115,1,112.815
116,0,117.831
117,1,174.399
118,0,231.822
119,0,12.3903
120,0,144.345
121,0,123.966
122,0,94.1438
123,1,100.379
124,1,105.415
125,1,14.3456
126,0,16.9876
127,0,9.85276
128,0,5.89827
129,0,75.7688
130,0,31.3517
131,0,76.9528
132,0,94.1264
133,0,11.4233
134,0,4.73474
135,1,45.5914
136,1,18.8107
137,0,80.2805
138,0,89.5974
139,0,37.969
140,1,171.996
141,0,13.2076
142,0,93.9452
143,1,17.1216
144,0,31.2637
145,0,77.7065
146,1,67.4006
147,0,28.567
148,0,56.5937
149,0,48.7544
150,0,28.0924
151,0,5.03937
152,0,38.9051
153,1,10.2573
154,0,347.832
155,0,76.0355
156,0,41.9027
157,0,13.6322
158,0,26.6253
159,0,34.3231
160,0,82.8401
161,0,106.779
162,1,15.1247
163,1,4.06549
164,0,95.2258
165,0,13.8274
166,1,18.0603
167,0,7.35652
168,0,10.9798
169,0,13.4407
170,1,61.7385
171,0,137.984
172,0,91.8941
173,1,180.672
174,0,105.32
175,1,0.965608
176,0,32.6668
177,1,164.241
178,1,382.981
179,1,21.8856
180,0,30.1157
181,0,37
182,0,17.5764
183,0,120.66
184,0,29.9885
185,0,2.33982
186,0,26.3932
187,0,43.1957
188,0,107.019
189,1,58.5354
190,0,4.565
191,1,4.62659
192,0,135.856
193,0,58.6786
194,0,61.1853
195,1,2.48463
196,1,66.6829
197,0,89.2298
198,1,159.723
199,0,10.6502
200,1,105.192
201,1,290.685
202,1,112.43
203,0,47.7817
204,1,92.9189
205,0,57.0843
206,1,36.025
