Event,HasHit,Pos
1,0,41.6617
2,0,28.1979
3,0,19.1704
4,0,162.681
5,1,150.553
6,0,46.0213
7,0,117.88
8,0,68.7681
9,0,21.8533
10,1,64.3874
11,0,31.9878
12,0,69.9053
13,0,406.537
14,0,41.5488
15,0,493.319
16,0,120.136
17,0,14.4669
18,0,63.8458
19,0,112.309
20,0,31.3519
21,0,8.06804
22,0,222.925
23,1,40.9822
24,0,44.2122
25,0,27.624
26,1,113.631
27,0,20.1168
28,0,48.9311
29,0,13.977
30,0,320.048
31,0,196.367
32,0,53.6047
33,1,6.7541
34,0,1.19389
35,0,9.01257
36,0,33.3241
37,0,6.63051
38,1,30.3794
39,0,14.3385
40,0,96.3694
41,0,147.425
42,0,324.554
43,0,129.668
44,0,123.094
45,0,234.933
46,0,128.629
47,0,11.7447
48,0,41.8675
49,1,17.1072
50,1,225.765
51,0,180.433
52,0,16.625
53,1,137.647
54,0,59.3976
55,0,22.8996
56,1,0.338739
57,0,154.756
58,0,72.8506
59,0,40.3792
60,0,53.1242
61,0,158.372
62,0,14.8315
63,0,496.277
64,0,166.236
65,0,139.1
66,0,154.357
67,0,334.93
68,0,112.314
69,0,122.959
70,0,3.9311
71,0,69.4352
72,0,129.526
73,0,116.943
74,1,73.3151
75,1,23.1966
76,0,155.646
77,0,38.3627
78,0,18.5651
79,0,72.5429
80,0,228.021
81,0,353.729
82,0,421.717
83,0,110.747
84,0,96.9271
85,0,0.942949
86,0,415.436
87,0,176.332
88,0,334.081
89,0,102.309
90,0,124.539
91,0,48.5729
92,0,19.6929
93,0,17.8242
94,0,9.55657
95,0,1.87312
96,1,4.41815
97,0,17.0896
98,0,347.849
99,1,10.1777
100,0,195.487
101,0,102.412
102,0,148.225
103,0,13.3751
104,0,5.63166
105,0,381.428
106,0,35.1694
107,1,116.643
108,0,14.3291
109,0,11.3698
110,1,101.636
111,0,94.2483
112,0,98.9162
113,0,69.4526
114,0,163.518
115,0,49.8493
116,0,65.6584
117,0,56.2263
118,0,211.081
119,0,126.059
120,0,222.379
121,1,28.465
122,1,107.086
123,0,17.1136
124,1,296.501
125,0,56.8393
126,0,36.0715
127,0,5.53857
128,0,17.5892
129,0,9.80312
130,0,54.2297
131,0,86.9581
132,0,80.0355
133,0,33.679
134,1,45.7806
135,0,104.933
136,0,29.1964
137,0,53.7726
138,0,179.927
139,0,526.402
140,0,136.895
141,1,203.371
142,0,21.7688
143,1,66.7767
144,0,12.709
145,0,169.989
146,0,417.613
147,1,3.11218
148,0,93.2129
149,0,197.973
150,0,282.141
151,1,170.901
152,0,222.254
153,0,125.865
154,1,331.402
155,0,164.4
156,0,10.4453
157,0,121.267
158,0,108.71
159,0,8.43304
160,0,54.4698
161,0,14.7752
162,0,10.8245
163,1,389.866
164,0,24.1099
165,0,58.4621
166,0,23.7468
167,1,100.823
168,0,126.158
169,1,66.7483
170,0,36.5222
171,0,7.46633
172,0,37.3117
173,0,280.556
174,0,44.0639
175,1,80.7189
176,1,61.8955
177,0,56.3497
178,0,32.6845
179,0,26.4736
180,0,287.038
181,0,125.516
182,0,62.8289
183,0,122.865
184,0,141.575
185,0,163.136
186,0,404.195
187,1,31.5353
188,0,21.7622
189,1,33.0802
190,1,114.651
191,0,176.288
192,0,356.167
193,0,55.9415
194,1,169.469
195,0,58.5903
196,1,65.6514
197,0,11.1741
198,0,49.8977
199,0,1.16374
200,0,44.159
201,1,28.3817
202,0,45.6299
203,0,246.316
204,0,97.9874
205,1,19.2651
206,0,52.0109
207,0,116.546
208,0,61.6609
209,0,100.112
210,0,93.4219
211,0,27.0473
212,0,39.3282
213,0,73.4571
214,1,15.8636
215,1,35.7381
216,0,7.44579
217,0,118.698
218,0,43.8
219,0,69.6644
220,0,221.171
221,1,166.788
222,0,77.8896
223,0,53.9529
224,0,202.64
225,0,88.4985
226,1,111.851
227,1,113.275
228,1,116.241
229,1,3.56555
230,0,287.828
231,0,30.4497
232,1,4.05726
233,0,142.232
234,1,87.8206
235,0,108.381
236,0,336.875
237,1,163.778
238,1,13.8534
239,0,40.6629
240,0,476.291
241,1,247.712
242,0,232.356
243,0,7.46447
244,0,52.0277
245,0,220.48
246,0,815.645
247,0,119.59
248,0,220.466
249,0,68.6207
250,0,155.905
251,0,8.55892
252,0,82.3632
253,1,86.6436
254,1,79.9434
255,0,144.451
256,0,30.6689
257,0,109.073
258,0,375.745
259,0,18.1879
260,0,33.4234
261,0,13.4595
262,0,77.4308
263,0,74.0501
264,0,33.785
265,0,89.2611
266,1,33.4813
267,1,156.145
268,1,75.2938
269,0,55.3998
