Event,HasHit,Pos
1,0,159.943
2,0,382.799
3,0,141.921
4,0,77.7535
5,1,575.728
6,0,1081.25
7,1,146.152
8,1,1263.32
9,1,449.991
10,1,603.302
11,0,91.9911
12,0,107.163
13,0,271.126
14,1,384.757
15,1,583.675
16,1,858.655
17,1,716.207
18,0,401.613
19,1,175.689
20,0,108.208
21,1,208.045
22,1,131.223
23,0,9.39188
24,1,160.472
25,1,4.01918
26,1,163.21
27,1,274.42
28,1,522.107
29,0,252.398
30,1,97.6065
31,1,875.363
32,1,306.249
33,0,1235.16
34,1,478.389
35,1,44.9753
36,0,564.132
37,0,702.281
38,1,476.132
39,1,167.584
40,1,23.0077
41,1,348.43
42,1,1212.98
43,1,100.423
44,0,452.486
45,0,142.468
46,1,203.579
47,0,45.9587
48,1,272.966
49,1,6.40188
50,1,52.5297
51,1,962.575
52,0,606.126
53,1,202.693
54,1,512.194
55,1,645.034
56,1,208.048
57,1,172.048
58,0,36.4902
59,1,72.4932
60,1,42.5903
61,0,100.583
62,0,345.322
63,1,199.817
64,0,108.027
65,0,128.649
66,1,8.55521
67,1,547.404
68,1,557.803
69,0,1995.5
70,0,178.16
71,0,119.085
72,1,491.818
73,1,180.045
74,1,347.113
75,1,2.83085
76,0,122.456
77,0,69.583
78,0,50.0166
79,1,505.479
80,1,514.721
81,1,575.478
82,1,84.9206
83,1,1473.92
84,0,1465.65
85,1,144.039
86,0,1069.11
87,0,18.8152
88,1,135.771
89,1,78.0115
90,0,253.001
91,1,393.155
92,1,66.8295
93,0,453.601
94,1,205.035
95,0,465.99
96,1,5.08037
97,1,225.98
98,1,68.1636
99,0,44.1707
100,1,292.127
101,0,237.483
102,0,354.871
103,1,198.208
104,1,349.651
105,0,785.006
106,0,399.007
107,0,1279.84
108,1,5.74194
109,1,53.1952
110,0,569.198
111,1,730.491
112,1,303.987
113,0,299.547
114,1,395.723
115,1,344.186
116,0,450.405
117,1,442.341
118,0,318.015
119,1,49.4423
120,1,1049.21
121,0,7.70787
122,0,280.311
123,1,401.981
124,1,62.669
125,1,395.048
126,0,513.601
127,0,538.765
128,1,43.3882
129,0,197.623
130,1,344.645
131,1,97.0063
132,1,202.952
133,1,144.147
134,1,797.528
135,1,29.899
136,1,557.733
137,1,38.4316
138,0,252.793
139,1,127.426
140,1,459.066
141,0,75.1852
142,0,156.704
143,1,1511.07
144,1,922.064
145,0,135.346
146,0,595.831
147,1,397.088
