Event,HasHit,Pos
1,1,0.120916
2,1,0.174152
3,1,0.241879
4,1,0.737725
5,1,0.0267206
6,1,0.0753185
7,1,0.12524
8,1,0.356619
9,1,0.0274081
10,1,0.121941
11,1,0.405488
12,1,0.208485
13,1,0.138658
14,1,1.29941
15,1,0.39473
16,1,0.3599
17,1,0.0305815
18,1,0.141457
19,1,0.0983626
20,1,0.171255
21,1,0.0826246
22,1,0.299868
23,0,0.052487
24,1,0.125095
25,0,0.0438087
26,1,0.176121
27,1,0.14665
28,1,0.392955
29,1,0.144953
30,1,0.651242
31,1,0.233635
32,1,0.0292339
33,1,0.171495
34,1,0.387949
35,1,0.33014
36,1,1.30062
37,1,0.149314
38,1,0.0321209
39,1,0.225484
40,1,0.0361685
41,1,0.310231
42,1,0.00083464
43,1,0.00133075
44,1,0.0415005
45,1,0.649727
46,1,0.159532
47,1,0.20268
48,1,0.271172
49,1,0.0398604
50,1,0.558139
51,1,0.332525
52,1,1.1238
53,1,0.271264
54,1,0.0500987
55,1,0.267124
56,1,0.307406
57,1,0.520768
58,1,0.0193554
59,1,1.49655
60,1,0.62006
61,1,1.28279
62,1,0.976795
63,1,0.028917
64,1,0.088381
65,1,0.326136
66,1,0.0865016
67,1,0.090151
68,1,0.041091
69,1,0.423766
70,1,0.381495
71,1,0.406265
72,1,0.235011
73,1,0.0681063
74,1,0.690416
75,1,0.459731
76,1,0.654141
77,1,0.626446
78,0,0.508051
79,1,0.169036
80,1,0.141037
81,1,0.131776
82,1,0.0639059
83,1,0.184074
84,1,0.0630817
85,1,0.226691
86,1,0.122134
87,1,0.419517
88,1,0.00765416
89,1,0.416076
90,1,0.0590746
91,1,0.413461
92,1,0.569297
93,1,0.0828586
94,1,0.581602
95,1,0.271777
96,1,0.0925336
97,1,0.0851454
98,1,1.30129
99,1,0.282744
100,1,0.195854
101,1,0.0640221
102,1,0.617981
103,0,0.543779
104,1,0.167155
105,1,0.216911
106,1,0.226566
107,1,0.175419
108,1,0.220417
109,0,0.333021
110,1,0.00012347
111,1,0.0694774
112,1,0.437939
113,1,0.101672
114,1,0.152251
115,1,0.321982
116,1,0.0958172
117,1,0.250175
118,1,0.45619
119,1,0.57667
120,1,0.128149
121,1,0.262071
122,1,1.13288
123,1,0.241866
124,1,0.0258796
125,1,0.0824647
126,1,0.634672
127,1,0.231517
128,1,0.190971
129,1,0.0439508
130,1,0.013992
131,1,0.171282
132,1,0.112518
133,1,0.830423
134,1,0.279639
135,1,0.59543
136,1,0.0972519
137,1,0.426619
138,1,0.359799
139,1,0.0733474
140,1,0.384023
141,1,0.55078
142,1,0.229747
143,1,0.0293946
144,1,0.0997465
145,1,0.162755
146,1,0.285885
147,1,0.0827025
148,1,0.593997
149,1,0.367316
150,1,0.207628
151,1,0.607591
152,1,0.343877
153,1,0.364838
154,1,0.634479
155,1,0.408793
156,1,0.0762701
157,1,0.249742
158,1,0.616918
159,1,0.0360655
160,1,0.122355
161,1,0.336037
162,1,0.204525
163,1,0.140105
164,1,0.0418271
165,1,0.40843
166,1,0.107272
167,1,0.63432
168,1,0.0362991
169,1,0.768396
170,1,0.0411202
171,1,0.0722135
172,1,0.186461
173,1,0.449972
174,1,0.70043
175,1,0.137902
176,1,0.203344
177,1,0.00384091
178,1,0.0802902
179,1,0.284009
180,1,0.0487849
181,1,0.788542
182,1,0.303182
183,0,0.174121
184,1,0.0650936
185,1,0.364794
186,1,0.768521
187,1,0.426838
188,1,0.100796
189,1,0.210448
190,1,0.26996
191,1,0.675127
192,1,0.429641
193,1,1.33035
194,1,0.0858073
195,1,0.235576
196,1,0.171801
197,1,0.233129
198,1,0.000103962
199,1,0.389344
200,1,0.00490506
201,1,0.94567
202,1,0.357739
203,1,0.572096
204,1,0.745713
205,1,1.00528
206,1,0.0507487
207,1,0.752081
208,1,0.0172882
209,1,0.0284989
210,1,0.716887
211,1,0.852082
212,1,0.121218
213,1,0.429875
214,1,0.118972
215,1,0.322599
216,1,0.161029
217,1,0.357783
218,1,0.210785
219,1,0.113939
220,1,0.882943
221,1,0.339259
222,1,1.62633
