Event,Hit,KE_i,KE_e
281,0,1.75226,0
282,0,3.72601,0
283,0,2.69773,0
284,0,4.39567,0
285,1,6.06121,6.06121
286,0,7.46183,0
287,0,2.30051,0
288,1,8.43154,1.67905
289,0,1.04809,0
290,1,5.43743,4.89124
291,0,6.14507,0
292,0,3.02048,0
293,0,5.59612,0
294,0,5.27462,0
295,0,1.33288,0
296,0,6.07648,0
297,0,7.95199,0
298,1,3.00317,1.10526e-07
299,0,3.36809,0
300,1,4.55332,3.91547e-05
301,0,5.15991,0
302,0,2.56761,0
303,0,3.23822,0
304,0,1.79155,0
305,0,2.69307,0
306,0,0,0
307,0,0.21142,0
308,0,3.60246,0
309,0,7.38242,0
310,1,2.17139,7.11906e-08
311,0,0,0
312,0,3.9714,0
313,0,3.46699,0
314,0,1.23738,0
315,0,3.11133,0
316,0,6.32596,0
317,0,4.60381,0
318,0,3.9685,0
319,0,2.74464,0
320,0,7.29436,0
321,0,2.03901,0
322,0,1.40136,0
323,0,2.79902,0
324,0,2.51866,0
325,0,4.85478,0
326,0,5.19032,0
327,0,0.662793,0
328,0,3.41799,0
329,0,2.15718,0
330,0,6.02217,0
331,0,0.723342,0
332,0,1.70704,0
333,0,4.07304,0
334,0,4.20836,0
335,0,6.49254,0
336,0,0.766241,0
337,0,2.76389,0
338,0,0.37574,0
339,0,0,0
340,0,0,0
341,1,6.16467,4.63262
342,0,3.40302,0
343,1,2.01262,0.0165694
344,0,3.2537,0
345,0,5.9831,0
346,0,1.57914,0
347,0,2.06967,0
348,1,3.87755,3.9772e-08
349,0,6.7473,0
350,0,2.90295,0
351,0,1.13354,0
352,0,2.01472,0
353,0,1.78037,0
354,0,5.15239,0
355,0,0,0
356,0,3.9808,0
357,0,1.4891,0
358,1,5.16091,5.05572e-08
359,0,4.72646,0
360,0,5.69804,0
361,0,3.31785,0
362,0,2.74734,0
363,0,4.72756,0
364,1,7.29976,7.29976
365,1,4.77286,1.54811e-07
366,0,1.95437,0
367,0,5.00854,0
368,0,2.0205,0
369,1,5.4671,0.0738543
370,0,5.45924,0
371,0,4.75103,0
372,0,0.5161,0
373,0,3.51088,0
374,0,6.84976,0
375,0,1.45566,0
376,0,0.166673,0
377,0,4.55739,0
378,0,4.72931,0
379,1,2.88388,0.0919941
380,0,2.86445,0
381,0,4.69292,0
382,0,5.2339,0
383,0,3.47908,0
384,0,5.37683,0
385,0,3.64735,0
386,0,4.17566,0
387,0,0.82269,0
388,0,1.76956,0
389,0,2.12505,0
390,0,1.40849,0
391,0,4.26227,0
392,0,8.71058,0
393,0,0.621549,0
394,0,5.41788,0
395,1,2.31079,4.02005e-08
396,0,6.5208,0
397,1,8.37843,5.64349e-08
398,0,2.03002,0
399,0,5.33396,0
400,0,6.05,0
401,0,1.89724,0
402,0,4.11598,0
403,0,2.96303,0
404,0,2.40977,0
405,0,0.809621,0
406,1,3.63417,6.71118e-08
407,0,4.7514,0
408,0,4.93457,0
409,0,3.3099,0
410,1,5.82113,2.91565
411,0,5.25604,0
412,0,4.66944,0
413,0,3.78004,0
414,0,1.30317,0
415,0,0.829884,0
416,0,0.513761,0
417,0,0,0
418,0,0.0214121,0
419,0,5.72077,0
420,0,4.92593,0
421,0,4.25796,0
422,0,3.00995,0
423,1,6.28651,5.64652
424,1,3.78478,1.30627e-08
425,0,0.558589,0
426,0,5.34394,0
427,0,0.525676,0
428,0,4.7952,0
429,0,3.51802,0
430,0,1.95791,0
431,0,0.63612,0
432,0,3.0475,0
433,0,5.1824,0
434,0,5.59416,0
435,0,5.59552,0
436,0,3.87587,0
437,0,2.17538,0
438,0,5.11677,0
439,0,3.83143,0
440,0,2.4455,0
441,0,0.181086,0
442,0,1.31983,0
443,1,8.92628,8.67464
444,0,5.57507,0
445,0,1.06059,0
446,1,5.37983,1.33584e-05
447,0,2.14876,0
448,0,3.68512,0
449,0,0.906591,0
450,0,3.39156,0
451,0,3.43666,0
452,0,3.41857,0
453,0,2.81025,0
454,0,6.83285,0
455,0,7.73959,0
456,0,7.19503,0
457,0,4.29534,0
458,0,3.43742,0
459,0,3.08669,0
460,0,4.34199,0
461,0,4.47135,0
462,0,8.4764,0
463,0,5.12278,0
464,0,1.68026,0
465,0,3.65922,0
466,0,5.01357,0
467,0,3.11944,0
468,0,2.20645,0
469,1,5.00993,0.560114
470,0,5.12631,0
471,0,4.48101,0
472,0,3.56652,0
473,0,6.83794,0
474,0,3.92237,0
475,0,2.66803,0
476,0,4.82494,0
477,0,4.70231,0
478,1,3.83708,7.97036e-08
479,0,9.53467,0
480,0,3.65977,0
481,0,1.11753,0
482,0,3.77369,0
483,0,4.80503,0
484,0,0.302849,0
485,0,7.80777,0
486,1,4.46144,0.176043
487,0,7.65054,0
488,0,5.35268,0
489,0,5.38068,0
490,0,0,0
491,0,2.67371,0
492,0,1.06319,0
493,0,7.30188,0
494,0,5.78714,0
495,0,3.58904,0
496,0,0.780731,0
497,0,4.93907,0
498,0,1.43828,0
499,0,4.79177,0
500,0,0.221304,0
501,0,4.03674,0
502,0,0.297731,0
503,0,6.67073,0
504,0,6.89431,0
505,0,4.08162,0
506,0,5.61895,0
507,0,1.79407,0
508,0,5.42721,0
509,0,5.55919,0
510,0,5.16574,0
511,1,5.09732,1.38817e-06
512,0,1.37239,0
513,0,1.39806,0
514,0,0,0
515,0,6.49849,0
516,0,1.25445,0
517,0,0.0497442,0
518,0,1.22218,0
519,0,0.119123,0
520,0,3.56327,0
521,0,3.65771,0
522,0,1.89639,0
523,0,1.34949,0
524,0,8.63357,0
525,0,3.62221,0
526,0,3.59837,0
527,0,0,0
528,0,3.42861,0
529,0,2.34954,0
530,0,6.12323,0
531,0,4.37997,0
532,0,7.00929,0
533,0,3.60547,0
534,0,4.23486,0
535,0,5.60695,0
536,1,4.20651,0.138586
537,0,3.50113,0
538,0,3.13537,0
539,1,3.73164,2.96129
540,0,2.26479,0
541,0,5.03353,0
542,0,4.55394,0
543,1,4.59156,7.73881e-08
544,0,4.15933,0
545,0,1.59209,0
546,0,9.4574,0
547,0,0.993412,0
548,0,3.20423,0
549,1,6.62183,1.12192e-07
550,0,2.3239,0
551,0,0.342692,0
552,0,3.01525,0
553,0,6.12505,0
554,0,4.12597,0
555,0,2.87722,0
556,0,2.95585,0
557,0,0.647647,0
558,0,4.73123,0
559,0,3.70902,0
560,0,0,0
561,0,5.58441,0
562,0,0.436728,0
563,0,2.9533,0
564,0,6.91132,0
565,0,2.32484,0
566,0,4.09861,0
567,0,5.53974,0
568,0,7.80481,0
569,0,5.32987,0
570,0,1.95491,0
571,0,4.78403,0
572,0,2.88446,0
573,0,0.995123,0
574,0,3.89882,0
575,0,1.24207,0
576,0,3.20113,0
577,0,5.63915,0
578,0,4.49033,0
579,0,7.5192,0
580,0,0.194623,0
581,0,0.51293,0
582,0,2.3958,0
583,0,3.16872,0
584,0,2.27153,0
585,1,6.10196,0.000139992
586,0,2.10925,0
587,0,7.99384,0
588,0,1.84413,0
589,0,0,0
