Energy,XS
18148.6,1.24604E-4
18172.8,1.07011E-4
18193.6,9.55999E-5
18228.2,8.28185E-5
18269.7,7.2853E-5
18325.1,6.51066E-5
18380.5,5.99704E-5
18487.4,5.4362E-5
18571.0,5.19283E-5
18831.3,4.84912E-5
19265.0,4.65303E-5
21000.0,4.54983E-5
25252.4,4.70372E-5
29157.8,5.01559E-5
34039.5,5.65296E-5
37944.9,6.3847E-5
40873.9,7.08197E-5
45755.6,8.82384E-5
49661.0,1.09109E-4
52590.0,1.32077E-4
55277.6,1.62343E-4
57102.4,1.92979E-4
57965.2,2.17626E-4
58380.4,2.41874E-4
58583.3,2.65573E-4
58704.3,2.90221E-4
58825.2,3.33542E-4
58899.1,3.79527E-4
58949.5,4.27918E-4
58999.9,5.01127E-4
59041.9,5.96256E-4
59074.7,7.08316E-4
59101.1,8.39616E-4
59123.8,0.0010005
59145.2,0.00121839
59162.9,0.00147526
59178.4,0.00179459
59193.1,0.00222458
59205.9,0.0027617
59216.2,0.00337024
59226.1,0.00419038
59234.5,0.00517579
59241.8,0.00638149
59248.5,0.0079273
59254.4,0.00983143
59259.3,0.012029
59264.0,0.015013
59268.0,0.0186847
59271.0,0.0225638
59273.6,0.0269925
59276.2,0.0333909
59278.3,0.0406387
59280.4,0.0507144
59282.1,0.0622989
59283.8,0.0769559
59285.5,0.0962269
59287.3,0.124204
59289.1,0.159029
59291.1,0.209651
59293.4,0.284644
59296.4,0.409161
59303.2,0.719665
59306.0,0.809059
59308.9,0.844537
59309.0,0.844555
59311.6,0.818714
59314.7,0.723399
59320.8,0.446196
59324.1,0.303049
59326.4,0.224263
59328.5,0.168984
59330.5,0.127423
59332.2,0.100956
59334.0,0.0788251
59335.9,0.0621119
59337.8,0.0498766
59339.9,0.0400455
59341.9,0.0332053
59344.4,0.027038
59347.5,0.021861
59350.8,0.0178314
59354.4,0.0147532
59358.7,0.0120702
59363.6,0.00984761
59369.5,0.00794138
59376.0,0.0064349
59383.3,0.00521653
59392.1,0.00418041
59402.2,0.00335148
59413.1,0.00271995
59424.9,0.00223463
59439.2,0.00181511
59454.3,0.00150049
59471.9,0.00123985
59493.8,0.00101593
59517.3,8.49926E-4
59544.6,7.17107E-4
59576.9,6.09316E-4
59614.7,5.24512E-4
59665.1,4.51508E-4
59718.9,4.01848E-4
59792.8,3.59704E-4
59884.7,3.31279E-4
59987.8,3.11674E-4
60142.6,3.00012E-4
60245.8,2.95495E-4
60477.9,3.0562E-4
60581.1,3.22339E-4
60658.5,3.5123E-4
60707.9,3.90015E-4
60746.2,4.42979E-4
60772.1,5.07288E-4
60793.8,5.94466E-4
60810.5,7.01159E-4
60823.9,8.32653E-4
60835.3,0.00100346
60844.9,0.00121925
60852.6,0.00147316
60859.4,0.00179431
60865.0,0.00217838
60869.9,0.00264743
60873.9,0.00320698
60877.1,0.00385817
60879.7,0.00463486
60881.4,0.00541557
60883.1,0.00648642
60884.6,0.00780775
60885.8,0.00933727
60887.0,0.0114234
60888.2,0.0142802
60889.3,0.0177419
60890.5,0.0229064
60891.7,0.0298888
60892.9,0.0392269
60894.1,0.0515556
60895.4,0.0688102
60896.7,0.090832
60898.1,0.122274
60899.6,0.166673
60901.3,0.228151
60903.2,0.31568
60906.1,0.472338
60911.2,0.783504
60913.9,0.902073
60916.4,0.953863
60917.0,0.955718
60919.6,0.918853
60922.3,0.806803
60927.1,0.525971
60930.2,0.343699
60932.4,0.240595
60934.1,0.176486
60935.5,0.13257
60937.0,0.0979572
60938.3,0.0743457
60939.5,0.0560096
60940.6,0.0437966
60941.7,0.0342401
60942.8,0.0268478
60943.9,0.0211844
60945.0,0.0168806
60946.1,0.0133971
60947.4,0.0107789
60948.7,0.00866705
60950.2,0.00703584
60951.7,0.00590372
60953.6,0.00496114
60955.7,0.00418835
60958.3,0.0035639
60961.9,0.00294556
60966.3,0.00243114
60971.8,0.00197562
60977.6,0.00164423
60983.9,0.00138665
60992.6,0.00113658
61002.8,9.40199E-4
61012.9,8.06531E-4
61027.5,6.77696E-4
61044.4,5.79048E-4
61061.8,5.12344E-4
61085.0,4.56048E-4
61114.1,4.10202E-4
61162.8,3.67653E-4
61239.2,3.37136E-4
61310.1,3.24009E-4
61522.8,3.12797E-4
61593.8,3.11936E-4
62586.6,3.39033E-4
64146.7,4.14621E-4
65565.0,5.12606E-4
66841.5,6.3561E-4
67976.1,7.87568E-4
68968.9,9.70686E-4
69961.7,0.00122238
70812.7,0.00152166
71663.7,0.00193528
72372.8,0.00240847
73082.0,0.00303453
73876.2,0.00398233
74897.4,0.00559145
75861.9,0.00710182
76446.2,0.00755776
76599.4,0.0075796
77166.7,0.00728807
77904.2,0.00624943
79152.3,0.00416244
79889.8,0.00319848
80599.0,0.00250334
81308.1,0.00198095
82017.3,0.00159587
82726.4,0.001303
83577.4,0.00104258
84428.4,8.49993E-4
85421.2,6.8427E-4
86555.8,5.46599E-4
87690.5,4.46897E-4
88825.1,3.76961E-4
89286.1,3.62581E-4
89569.7,3.76497E-4
89676.1,4.00846E-4
89755.9,4.42581E-4
89805.9,4.94147E-4
89841.1,5.54667E-4
89876.3,6.54898E-4
89898.1,7.54329E-4
89916.4,8.77955E-4
89934.6,0.00106314
89949.2,0.00128479
89960.1,0.00152472
89970.6,0.00185395
89978.8,0.0022188
89986.6,0.00270068
89992.9,0.00325508
89998.4,0.00391072
90003.0,0.00466074
90007.5,0.00572759
90010.7,0.00681419
90013.5,0.00815792
90015.8,0.00988166
90017.9,0.012037
90019.6,0.0145749
90021.3,0.018104
90022.9,0.0224674
90024.4,0.0283657
90026.0,0.0366401
90027.6,0.0477911
90029.2,0.0626303
90030.8,0.0820766
90032.4,0.107119
90034.2,0.145154
90036.3,0.198742
90038.5,0.272374
90041.2,0.385082
90046.5,0.647502
90051.0,0.859874
90054.3,0.959772
90056.9,0.985112
90059.8,0.952501
90062.8,0.858875
90067.1,0.656924
90072.5,0.385935
90075.1,0.278638
90077.5,0.199942
90079.4,0.148525
90081.2,0.110515
90082.9,0.083929
90084.5,0.063433
90086.0,0.0497475
90087.5,0.0384318
90089.1,0.029934
90090.6,0.0236112
90092.1,0.0189339
90093.9,0.0150649
90095.7,0.0123152
90097.7,0.0100638
90099.8,0.00848804
