Energy,XS
96522.5,5.73066
96531.4,8.82668
96535.3,9.6625
96537.9,9.832
96541.6,9.48434
96545.9,8.34065
96555.1,5.14349
96558.8,4.18734
96562.4,3.52631
96566.0,3.12117
96569.7,2.88966
96575.1,2.72811
96587.7,2.63502
96763.1,2.56518
99980.8,2.19028
100016.0,1.99893
101199.0,1.86112
101480.0,1.85467
101775.0,1.8909
101853.0,1.97775
101888.0,2.10683
101909.0,2.29102
101922.0,2.52809
101932.0,2.83793
101938.0,3.18871
101943.0,3.59225
101947.0,4.18736
101951.0,4.93444
101954.0,5.96621
101958.0,7.4078
101961.0,9.3803
101965.0,12.3153
101971.0,17.4441
101978.0,24.4379
101982.0,27.3981
101986.0,28.213
101990.0,27.4305
101994.0,24.7923
102006.0,12.6215
102011.0,9.44781
102014.0,7.46056
102018.0,6.00588
102021.0,4.97481
102025.0,4.19466
102030.0,3.56146
102035.0,3.15719
102042.0,2.78271
102051.0,2.51285
102065.0,2.27297
102085.0,2.0997
102123.0,1.96328
102221.0,1.86508
102730.0,1.80703
105641.0,1.60479
105663.0,1.63496
105671.0,1.73795
105679.0,1.95856
105688.0,2.27502
105693.0,2.33419
105698.0,2.26261
105714.0,1.77309
105718.0,1.68584
105726.0,1.62235
105820.0,1.59593
110611.0,1.37479
112787.0,1.32936
113701.0,1.37451
114354.0,1.49722
114658.0,1.63924
114876.0,1.83021
115137.0,2.19005
115268.0,2.51228
115376.0,2.95947
115464.0,3.51174
115540.0,4.22122
115605.0,5.08614
115670.0,6.30669
115725.0,7.71661
115779.0,9.62414
115839.0,12.4634
115914.0,17.1961
115984.0,21.7689
116034.0,23.7212
116053.0,23.9064
116081.0,23.5218
116125.0,21.6491
116252.0,13.4744
116312.0,10.5072
116373.0,8.28471
116434.0,6.70148
116502.0,5.4676
116570.0,4.6083
116638.0,4.00075
116720.0,3.49423
116829.0,3.06256
116965.0,2.75973
117182.0,2.34077
117444.0,2.01842
117792.0,1.7655
118227.0,1.57926
119049.0,1.38106
120294.0,1.23339
122035.0,1.12967
124877.0,1.02822
130194.0,0.889449
138500.0,0.709132
142379.0,0.613342
148396.0,0.479322
149666.0,0.433998
149750.0,0.440041
149790.0,0.456707
149814.0,0.489394
149825.0,0.525814
149832.0,0.57585
149838.0,0.649204
149841.0,0.733129
149845.0,0.852708
149848.0,1.01489
149851.0,1.24694
149854.0,1.57005
149857.0,2.00131
149860.0,2.61483
149864.0,3.61311
149876.0,6.96043
149881.0,7.84824
149885.0,8.11965
149890.0,7.80671
149894.0,6.8465
149906.0,3.45597
149910.0,2.5726
149914.0,1.95262
149917.0,1.54691
149920.0,1.24396
149923.0,1.02485
149926.0,0.869996
149929.0,0.762213
149932.0,0.67026
149937.0,0.605327
149944.0,0.54767
149955.0,0.504445
149972.0,0.470101
150014.0,0.439595
150097.0,0.422813
150756.0,0.399216
152141.0,0.378361
153948.0,0.310282
156446.0,0.271266
159777.0,0.206418
160748.0,0.198716
161581.0,0.195851
162344.0,0.201779
163593.0,0.233896
164079.0,0.258808
164634.0,0.306753
165397.0,0.400857
165814.0,0.473679
166438.0,0.610698
166855.0,0.744835
167340.0,0.938483
167687.0,1.12549
168334.0,1.58093
168728.0,1.97148
169283.0,2.69169
169658.0,3.3271
170158.0,4.47577
170657.0,5.97874
171046.0,7.42631
172434.0,13.71
172933.0,15.0917
173433.0,15.4764
174099.0,14.8472
176292.0,9.37661
177263.0,7.54597
178187.0,6.26272
179345.0,5.16257
180108.0,4.6044
180472.0,4.33924
180622.0,4.46376
180705.0,4.79334
180759.0,5.30464
180800.0,6.04305
180827.0,6.88822
180846.0,7.80744
180866.0,9.24761
180884.0,11.0939
180900.0,13.6303
180915.0,16.9765
180935.0,22.6536
180954.0,28.4493
180969.0,30.9968
180975.0,31.2247
180984.0,30.5118
181000.0,27.0245
181030.0,17.9359
181046.0,14.1896
181062.0,11.5645
181078.0,9.70717
181098.0,8.0591
181121.0,6.88552
181147.0,6.01582
181185.0,5.227
181228.0,4.73051
181304.0,4.27672
181427.0,3.9918
181674.0,3.88285
182000.0,3.95322
183240.0,3.333
184322.0,2.99775
185399.0,2.76233
185463.0,2.79012
185495.0,2.88461
185508.0,3.00171
185517.0,3.1831
185524.0,3.48659
185530.0,3.94944
185536.0,4.6961
185541.0,5.77964
185548.0,7.58559
185560.0,11.442
185566.0,12.7448
185570.0,13.0119
185576.0,12.5656
185582.0,11.141
185596.0,6.94006
185601.0,5.56794
185607.0,4.65987
185612.0,4.01499
185619.0,3.55047
185626.0,3.26321
185636.0,3.07869
185660.0,2.8849
185728.0,2.74055
186044.0,2.60199
189793.0,2.05693
192000.0,1.84628
192802.0,1.92701
192982.0,2.01708
193078.0,2.15593
193131.0,2.34457
193164.0,2.56364
193194.0,2.93907
193214.0,3.38215
193230.0,3.99186
193242.0,4.65598
193252.0,5.48871
193261.0,6.56306
193270.0,8.16106
193280.0,10.342
193290.0,13.6275
193310.0,21.7141
193319.0,23.8255
193324.0,24.1979
193332.0,23.4473
193340.0,21.2921
193362.0,12.7183
193371.0,10.0268
193381.0,8.03614
193390.0,6.617
193400.0,5.47178
193412.0,4.62631
193425.0,3.97124
193442.0,3.43786
193461.0,3.03703
193493.0,2.65697
193533.0,2.40041
193586.0,2.21527
193682.0,2.06054
193886.0,1.94434
195009.0,1.70203
195341.0,1.65818
195364.0,1.69649
195373.0,1.812
195380.0,2.00926
195386.0,2.35426
195394.0,3.00484
195404.0,3.84812
195410.0,4.14258
195413.0,4.16653
195418.0,4.03711
195425.0,3.58201
195437.0,2.55725
195443.0,2.22195
195449.0,1.96674
195455.0,1.82797
195466.0,1.73416
195504.0,1.68366
196561.0,1.55213
196624.0,1.57052
196642.0,1.63187
196652.0,1.76346
196658.0,1.93348
196664.0,2.26104
196670.0,2.75893
196684.0,4.08519
196691.0,4.48986
196694.0,4.55446
196700.0,4.41876
196707.0,3.91807
196719.0,2.69993
196726.0,2.22686
196732.0,1.95972
196737.0,1.79622
196745.0,1.68363
